loinc_num;copra_id;loinc_long_common_name;copra_description;accuracy;is_match;id
89872-6;100093;Bilirubin.gesamt [Mol/Volumen] in arteriellem Blut;arterieller Blutdruck 1;68;Nein;110
21232-4;103010;Creatinin [Masse/Volumen] in arteriellem Blut;arterieller Druck;60;Nein;111
2518-9;103010;Lactat [Mol/Volumen] in arteriellem Blut;arterieller Druck;65;Nein;112
2744-1;103010;pH von arteriellem Blut;arterieller Druck;67;Nein;113
2906-6;103010;Pyruvat [Masse/Volumen] in arteriellem Blut;arterieller Druck;63;Nein;114
30242-2;103010;Lactat [Masse/Volumen] in arteriellem Blut;arterieller Druck;65;Nein;115
32354-3;103010;Hämatokrit [Volumenfraktion] von arteriellem Blut;arterieller Druck;60;Nein;116
32713-0;103010;Kalium [Mol/Volumen] in arteriellem Blut;arterieller Druck;65;Nein;117
32717-1;103010;Natrium [Mol/Volumen] in arteriellem Blut;arterieller Druck;63;Nein;118
39481-7;103010;Glucose [Mol/Volumen] in arteriellem Blut;arterieller Druck;63;Nein;119
41650-3;103010;Chlorid [Mol/Volumen] in arteriellem Blut;arterieller Druck;63;Nein;120
41651-1;103010;Glucose [Masse/Volumen] in arteriellem Blut;arterieller Druck;63;Nein;121
59827-6;103010;Bilirubin.gesamt [Masse/Volumen] in arteriellem Blut;arterieller Druck;60;Nein;122
89872-6;103010;Bilirubin.gesamt [Mol/Volumen] in arteriellem Blut;arterieller Druck;60;Nein;123
21232-4;102162;Creatinin [Masse/Volumen] in arteriellem Blut;Arterieller Druck;60;Nein;124
2518-9;102162;Lactat [Mol/Volumen] in arteriellem Blut;Arterieller Druck;65;Nein;125
2744-1;102162;pH von arteriellem Blut;Arterieller Druck;67;Nein;126
2906-6;102162;Pyruvat [Masse/Volumen] in arteriellem Blut;Arterieller Druck;63;Nein;127
76213-8;100093;Diastolischer Blutdruck invasiv;arterieller Blutdruck 1;60;Ja;105
76215-3;100093;Systolischer Blutdruck invasiv;arterieller Blutdruck 1;60;Ja;106
8462-4;100093;Diastolischer Blutdruck;arterieller Blutdruck 1;68;Ja;107
8478-0;100093;Mittlerer Blutdruck;arterieller Blutdruck 1;75;Ja;108
30242-2;102162;Lactat [Masse/Volumen] in arteriellem Blut;Arterieller Druck;65;Nein;128
32354-3;102162;Hämatokrit [Volumenfraktion] von arteriellem Blut;Arterieller Druck;60;Nein;129
32713-0;102162;Kalium [Mol/Volumen] in arteriellem Blut;Arterieller Druck;65;Nein;130
32717-1;102162;Natrium [Mol/Volumen] in arteriellem Blut;Arterieller Druck;63;Nein;131
39481-7;102162;Glucose [Mol/Volumen] in arteriellem Blut;Arterieller Druck;63;Nein;132
41650-3;102162;Chlorid [Mol/Volumen] in arteriellem Blut;Arterieller Druck;63;Nein;133
41651-1;102162;Glucose [Masse/Volumen] in arteriellem Blut;Arterieller Druck;63;Nein;134
59827-6;102162;Bilirubin.gesamt [Masse/Volumen] in arteriellem Blut;Arterieller Druck;60;Nein;135
89872-6;102162;Bilirubin.gesamt [Mol/Volumen] in arteriellem Blut;Arterieller Druck;60;Nein;136
12961-9;1273;Harnstoff-Stickstoff [Masse/Volumen] in arteriellem Blut;arterielle Sauerstoffsättigung;64;Nein;137
19218-7;1273;Sauerstoffgehalt in arteriellem Blut;arterielle Sauerstoffsättigung;71;Nein;138
19224-5;1273;Sauerstoffsättigung in gemischt-venösem Blut;arterielle Sauerstoffsättigung;77;Nein;139
2019-8;1273;Kohlenstoffdioxid [Partialdruck] in arteriellem Blut;arterielle Sauerstoffsättigung;60;Nein;140
2026-3;1273;Kohlenstoffdioxid, gesamt [Mol/Volumen] in arteriellem Blut;arterielle Sauerstoffsättigung;60;Nein;141
20564-1;1273;Sauerstoffsättigung in Blut;arterielle Sauerstoffsättigung;88;Nein;142
2703-7;1273;Sauerstoff [Partialdruck] in arteriellem Blut;arterielle Sauerstoffsättigung;75;Nein;143
2709-4;1273;Sauerstoffsättigung in Kapillarblut;arterielle Sauerstoffsättigung;77;Nein;145
2711-0;1273;Sauerstoffsättigung in venösem Blut;arterielle Sauerstoffsättigung;77;Nein;146
2713-6;1273;Sauerstoffsättigung berechnet aus Sauerstoff-Partialdruck in Blut;arterielle Sauerstoffsättigung;77;Nein;147
28642-7;1273;Sauerstoffsättigung in arteriellem Nabelschnurblut;arterielle Sauerstoffsättigung;77;Nein;148
28643-5;1273;Sauerstoffsättigung in venösem Nabelschnurblut;arterielle Sauerstoffsättigung;77;Nein;149
3150-0;1273;Inhalierte Sauerstoffkonzentration;arterielle Sauerstoffsättigung;60;Nein;150
32717-1;1273;Natrium [Mol/Volumen] in arteriellem Blut;arterielle Sauerstoffsättigung;60;Nein;151
51731-8;1273;Sauerstoffsättigung berechnet aus Sauerstoff-Partialdruck in venösem Blut;arterielle Sauerstoffsättigung;77;Nein;152
51732-6;1273;Sauerstoffsättigung berechnet aus Sauerstoff-Partialdruck in Kapillarblut;arterielle Sauerstoffsättigung;77;Nein;153
72927-7;1273;Harnstoff [Mol/Volumen] in arteriellem Blut;arterielle Sauerstoffsättigung;65;Nein;156
74105-8;1273;Sauerstoffsättigung berechnet aus Sauerstoff-Partialdruck in gemischt-venösem Blut;arterielle Sauerstoffsättigung;77;Nein;157
19840-8;1267;Atemfrequenz.spontan und mechanisch --am Beatmungsgerät;Atemfrequenz;100;Nein;158
8867-4;1267;Herzfrequenz;Atemfrequenz;75;Nein;159
9278-3;1267;Atemfrequenz spezielle Umstände;Atemfrequenz;100;Nein;160
19840-8;104245;Atemfrequenz.spontan und mechanisch --am Beatmungsgerät;Atemfrequenz ;100;Nein;162
19840-8;104283;Atemfrequenz.spontan und mechanisch --am Beatmungsgerät;Atemfrequenz ;100;Nein;163
8867-4;104245;Herzfrequenz;Atemfrequenz ;75;Nein;164
8867-4;104283;Herzfrequenz;Atemfrequenz ;75;Nein;165
9278-3;104245;Atemfrequenz spezielle Umstände;Atemfrequenz ;100;Nein;166
9278-3;104283;Atemfrequenz spezielle Umstände;Atemfrequenz ;100;Nein;167
9279-1;104245;Atemfrequenz;Atemfrequenz ;100;Nein;168
9279-1;104283;Atemfrequenz;Atemfrequenz ;100;Nein;169
13358-7;21;Probennahme-Zeitpunkt von Sperma;Aufnahmezeitpunkt für den Fall;62;Nein;170
29264-9;21;Probennahme-Zeitpunkt von Blut;Aufnahmezeitpunkt für den Fall;70;Nein;171
8867-4;104255;Herzfrequenz;Backup Frequenz [n/min] ;80;Nein;172
9279-1;104255;Atemfrequenz;Backup Frequenz [n/min] ;80;Nein;173
9279-1;100108;Atemfrequenz;Beatmungsfrequenz (f/AF);65;Nein;174
22745-4;30;Ethanol [Mol/Volumen] in Urin;Behandlung;64;Nein;176
32095-2;30;Methanol [Mol/Volumen] in Urin;Behandlung;61;Nein;177
5644-0;30;Ethanol [Nachweis] in Urin;Behandlung;64;Nein;178
5645-7;30;Ethanol [Masse/Volumen] in Urin;Behandlung;64;Nein;179
12180-6;102763;Calcium.ionisiert [Mol/Volumen] in Serum oder Plasma mit ionenselektiver Membranelektrode (ISE);Bezeichnug der Calcium Lösung;70;Nein;180
12181-4;102763;Calcium [Mol/Volumen] in Körperflüssigkeit;Bezeichnug der Calcium Lösung;70;Nein;181
13454-4;102763;Calcium-Phosphat-Produkt [(Mol/Volumen) hoch 2] in Serum oder Plasma;Bezeichnug der Calcium Lösung;70;Nein;182
13959-2;102763;Calcium.ionisiert [Mol/Volumen] in Serum oder Plasma, berechnet;Bezeichnug der Calcium Lösung;70;Nein;183
14415-4;102763;Calcium [Mol/Volumen] in Amnionflüssigkeit;Bezeichnug der Calcium Lösung;70;Nein;184
14417-0;102763;Calcium [Mol/Volumen] in Peritonealflüssigkeit;Bezeichnug der Calcium Lösung;70;Nein;185
14637-3;102763;Calcium [Mol/Zeit] in 24-Stunden-Urin;Bezeichnug der Calcium Lösung;70;Nein;186
15202-5;102763;Kalium [Mol/Volumen] in Stuhl;Bezeichnug der Calcium Lösung;64;Nein;187
16271-9;102763;Calcium [Masse/Volumen] in Serum oder Plasma --30 Minuten nach XXX Stimulation;Bezeichnug der Calcium Lösung;70;Nein;188
16513-4;102763;Calcium.ionisiert [Mol/Volumen] in Serum oder Plasma --3. Probenmaterial nach XXX Stimulation;Bezeichnug der Calcium Lösung;70;Nein;189
16517-5;102763;Calcium.ionisiert [Mol/Volumen] in Serum oder Plasma --7. Probenmaterial nach XXX Stimulation;Bezeichnug der Calcium Lösung;70;Nein;190
9279-1;1267;Atemfrequenz;Atemfrequenz;100;Ja;161
59408-5;1273;Sauerstoffsättigung in arteriellem Blut mit Pulsoximetrie;arterielle Sauerstoffsättigung;77;Ja;155
18776-5;30;Behandlungsplan - Notiz;Behandlung;65;Ja;175
16518-3;102763;Calcium [Masse/Zeit] in 2-Stunden-Urin;Bezeichnug der Calcium Lösung;70;Nein;191
16519-1;102763;Calcium [Mol/Volumen] in Serum oder Plasma --10 Minuten nach XXX Stimulation;Bezeichnug der Calcium Lösung;70;Nein;192
16526-6;102763;Calcium/Protein [Massenverhältnis] in Serum oder Plasma;Bezeichnug der Calcium Lösung;70;Nein;193
17861-6;102763;Calcium [Masse/Volumen] in Serum oder Plasma;Bezeichnug der Calcium Lösung;70;Nein;194
17862-4;102763;Calcium [Masse/Volumen] in Urin;Bezeichnug der Calcium Lösung;80;Nein;195
17863-2;102763;Calcium.ionisiert [Masse/Volumen] in Serum oder Plasma;Bezeichnug der Calcium Lösung;70;Nein;196
17864-0;102763;Calcium.ionisiert [Masse/Volumen] in Serum oder Plasma mit ionenselektiver Membranelektrode (ISE);Bezeichnug der Calcium Lösung;70;Nein;197
18186-7;102763;Calcium [Masse/Zeit] in 12-Stunden-Urin;Bezeichnug der Calcium Lösung;70;Nein;198
19072-8;102763;Calcium.ionisiert [Mol/Volumen] angepasst an pH 7,4 in Serum oder Plasma;Bezeichnug der Calcium Lösung;70;Nein;199
1994-3;102763;Calcium.ionisiert [Mol/Volumen] in Blut;Bezeichnug der Calcium Lösung;70;Nein;200
1995-0;102763;Calcium.ionisiert [Mol/Volumen] in Serum oder Plasma;Bezeichnug der Calcium Lösung;70;Nein;201
1996-8;102763;Calcium [Mol/Volumen] in Blut;Bezeichnug der Calcium Lösung;80;Nein;202
1998-4;102763;Calcium [Mol/Volumen] in Dialysat;Bezeichnug der Calcium Lösung;70;Nein;203
2000-8;102763;Calcium [Mol/Volumen] in Serum oder Plasma;Bezeichnug der Calcium Lösung;70;Nein;204
2001-6;102763;Calcium [Mol/Volumen] in 24-Stunden-Stuhl;Bezeichnug der Calcium Lösung;71;Nein;205
2004-0;102763;Calcium [Mol/Volumen] in Urin;Bezeichnug der Calcium Lösung;80;Nein;206
2005-7;102763;Calcium [Mol/Zeit] in 2-Stunden-Urin --nach 12 Stunden Nahrungskarenz;Bezeichnug der Calcium Lösung;70;Nein;207
24518-3;102763;Calcium/Creatinin [Molverhältnis] in Urin;Bezeichnug der Calcium Lösung;70;Nein;208
25360-9;102763;Cadmium [Mol/Volumen] in Urin;Bezeichnug der Calcium Lösung;64;Nein;209
25362-5;102763;Calcium [Mol/Volumen] in 24-Stunden-Urin;Bezeichnug der Calcium Lösung;70;Nein;210
25506-7;102763;Kalium [Mol/Masse] in Stuhl;Bezeichnug der Calcium Lösung;64;Nein;211
27037-1;102763;Calcium/Creatinin [Massenverhältnis] in 2-Stunden-Urin;Bezeichnug der Calcium Lösung;70;Nein;212
27172-6;102763;Calcium [Masse/Masse] in 24-Stunden-Stuhl;Bezeichnug der Calcium Lösung;71;Nein;213
27441-5;102763;Kalium [Mol/Masse] in 24-Stunden-Stuhl;Bezeichnug der Calcium Lösung;61;Nein;214
2828-2;102763;Kalium [Mol/Volumen] in Urin;Bezeichnug der Calcium Lösung;67;Nein;215
29265-6;102763;Calcium [Mol/Volumen] Albumin-korrigiert in Serum oder Plasma;Bezeichnug der Calcium Lösung;70;Nein;216
33790-7;102763;Calcium [Mol/Volumen] in Urin --1. Probenmaterial nach XXX Stimulation;Bezeichnug der Calcium Lösung;70;Nein;217
34581-9;102763;Calcium.ionisiert [Mol/Volumen] in arteriellem Blut;Bezeichnug der Calcium Lösung;70;Nein;218
38230-9;102763;Calcium.ionisiert [Masse/Volumen] in Blut;Bezeichnug der Calcium Lösung;70;Nein;219
38250-7;102763;Calcium [Masse/Volumen] in Probenmaterial;Bezeichnug der Calcium Lösung;70;Nein;220
40083-8;102763;Calcium [Masse/Volumen] in Serum oder Plasma --1 Tag nach XXX Stimulation;Bezeichnug der Calcium Lösung;70;Nein;221
40230-5;102763;Calcium [Mol/Volumen] in Serum oder Plasma --1,5 Stunden nach XXX Stimulation;Bezeichnug der Calcium Lösung;70;Nein;222
41644-6;102763;Calcium.ionisiert [Mol/Volumen] in Kapillarblut;Bezeichnug der Calcium Lösung;70;Nein;223
41645-3;102763;Calcium.ionisiert [Mol/Volumen] in venösem Blut;Bezeichnug der Calcium Lösung;70;Nein;224
41646-1;102763;Calcium.ionisiert [Mol/Volumen] in gemischt-venösem Blut;Bezeichnug der Calcium Lösung;70;Nein;225
42593-4;102763;Calcium [Mol/Volumen] in Kapillarblut;Bezeichnug der Calcium Lösung;70;Nein;226
42857-3;102763;Calcium [Mol/Volumen] in venösem Blut;Bezeichnug der Calcium Lösung;70;Nein;227
46093-1;102763;Calcium.ionisiert [Mol/Volumen] in Dialysat;Bezeichnug der Calcium Lösung;70;Nein;228
46099-8;102763;Calcium [Masse/Volumen] Albumin-korrigiert in Serum oder Plasma;Bezeichnug der Calcium Lösung;70;Nein;229
47275-3;102763;S100 Calcium-bindendes Protein B [Masse/Volumen] in Serum;Bezeichnug der Calcium Lösung;70;Nein;230
47596-2;102763;Calcium.ionisiert [Mol/Volumen] in Blut mit ionenselektiver Membranelektrode (ISE);Bezeichnug der Calcium Lösung;70;Nein;231
49005-2;102763;Calcium [Mol/Volumen] in Peritonealdialysat;Bezeichnug der Calcium Lösung;70;Nein;232
49764-4;102763;Calcium [Masse/Volumen] in Amnionflüssigkeit;Bezeichnug der Calcium Lösung;70;Nein;233
49765-1;102763;Calcium [Masse/Volumen] in Blut;Bezeichnug der Calcium Lösung;80;Nein;234
50836-6;102763;Calcium [Mol/Masse] in Haar;Bezeichnug der Calcium Lösung;74;Nein;235
51610-4;102763;Calcium [Mol/Zeit] in 12-Stunden-Urin;Bezeichnug der Calcium Lösung;70;Nein;236
53087-3;102763;Calcium.ionisiert [Mol/Volumen] angepasst an pH 7,4 in nicht-biologischer Flüssigkeit;Bezeichnug der Calcium Lösung;70;Nein;237
53502-1;102763;Calcium [Mol/Masse] in Probenmaterial;Bezeichnug der Calcium Lösung;70;Nein;238
54366-0;102763;Calcium.ionisiert [Mol/Volumen] angepasst an pH 7,4 in Nabelschnurblut;Bezeichnug der Calcium Lösung;70;Nein;239
5611-9;102763;Cadmium [Masse/Volumen] in Urin;Bezeichnug der Calcium Lösung;64;Nein;240
57335-2;102763;Calcium [Masse/Volumen] in 12-Stunden-Urin;Bezeichnug der Calcium Lösung;70;Nein;241
5745-5;102763;Thallium [Masse/Volumen] in Urin;Bezeichnug der Calcium Lösung;62;Nein;242
59470-5;102763;Calcium.ionisiert [Masse/Volumen] in arteriellem Blut;Bezeichnug der Calcium Lösung;70;Nein;243
15074-8;101472;Glucose [Mol/Volumen] in Blut;Blutgruppe des Patienten;64;Nein;244
2339-0;101472;Glucose [Masse/Volumen] in Blut;Blutgruppe des Patienten;64;Nein;245
47100-3;101472;Kupfer [Mol/Volumen] in Blut;Blutgruppe des Patienten;67;Nein;246
98981-4;101472;Harnsäure [Masse/Volumen] in Blut;Blutgruppe des Patienten;61;Nein;247
19254-2;103716;Sauerstoff [Partialdruck] angepasst an aktuelle Körpertemperatur des Patienten oder der Patientin in Blut;Bluttemperatur bei der HZV Messung;60;Nein;248
39486-6;103716;pH von venösem Blut angepasst an aktuelle Körpertemperatur des Patienten oder der Patientin;Bluttemperatur bei der HZV Messung;68;Nein;249
17862-4;103052;Calcium [Masse/Volumen] in Urin;Calciumbeutel;64;Nein;250
2004-0;103052;Calcium [Mol/Volumen] in Urin;Calciumbeutel;64;Nein;251
38250-7;103052;Calcium [Masse/Volumen] in Probenmaterial;Calciumbeutel;69;Nein;252
42593-4;103052;Calcium [Mol/Volumen] in Kapillarblut;Calciumbeutel;61;Nein;253
53502-1;103052;Calcium [Mol/Masse] in Probenmaterial;Calciumbeutel;69;Nein;254
14637-3;103121;Calcium [Mol/Zeit] in 24-Stunden-Urin;Calciumlösung;62;Nein;255
16518-3;103121;Calcium [Masse/Zeit] in 2-Stunden-Urin;Calciumlösung;62;Nein;256
17861-6;103121;Calcium [Masse/Volumen] in Serum oder Plasma;Calciumlösung;62;Nein;257
17862-4;103121;Calcium [Masse/Volumen] in Urin;Calciumlösung;75;Nein;258
18186-7;103121;Calcium [Masse/Zeit] in 12-Stunden-Urin;Calciumlösung;62;Nein;259
1998-4;103121;Calcium [Mol/Volumen] in Dialysat;Calciumlösung;64;Nein;260
