loinc_num;copra_id;loinc_long_common_name;copra_name;accuracy;is_match;id
12739-9;108510;Insulin [Masse/Volumen] in Serum oder Plasma --2. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;28
27961-2;108510;Lactat [Masse/Volumen] in Blut --3 Stunden nach XXX Stimulation;Atmung_Stimulation;76;Nein;29
40148-9;108510;Glucose [Mol/Volumen] in Serum oder Plasma --vor XXX Stimulation;Atmung_Stimulation;76;Nein;30
50719-4;108510;11-Desoxycortisol [Masse/Volumen] in Serum oder Plasma --4. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;31
25625-5;108510;Cortisol [Mol/Volumen] in Serum oder Plasma --7. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;32
29358-9;108510;Cortisol [Masse/Volumen] in Serum oder Plasma --vor XXX Stimulation;Atmung_Stimulation;76;Nein;33
33654-5;108510;Insulin-ähnlicher Wachstumsfaktor Bindungsprotein 3 [Masse/Volumen] in Serum oder Plasma --1 Stunde nach XXX Stimulation;Atmung_Stimulation;76;Nein;34
12523-7;108510;Katecholamine [Masse/Volumen] in Plasma --3. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;35
33790-7;108510;Calcium [Mol/Volumen] in Urin --1. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;36
25581-0;108510;C-Peptid [Mol/Volumen] in Serum oder Plasma --8. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;37
51499-2;108510;Estradiol (E2) [Masse/Volumen] in Serum oder Plasma --1. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;38
12566-6;108510;Cortisol [Masse/Volumen] in Serum oder Plasma --30 Minuten nach XXX Stimulation;Atmung_Stimulation;76;Nein;39
47146-6;108510;Adrenalin [Mol/Volumen] in Plasma --4. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;40
56527-5;108510;Vasopressin [Masse/Volumen] in Plasma --1 Stunde nach XXX Stimulation;Atmung_Stimulation;76;Nein;41
16654-6;108510;Corticotropin [Masse/Volumen] in Plasma mit Radioimmunoassay --1,5 Stunden nach XXX Stimulation;Atmung_Stimulation;76;Nein;42
33845-9;108510;Parathormon.intakt [Mol/Volumen] in Serum oder Plasma --1 Stunde nach XXX Stimulation;Atmung_Stimulation;76;Nein;43
56589-5;108510;Dehydroepiandrosteron (DHEA) [Masse/Volumen] in Serum oder Plasma --1,5 Stunden nach XXX Stimulation;Atmung_Stimulation;76;Nein;44
16723-9;108510;Dehydroepiandrosteron-Sulfat (DHEA-S) [Masse/Volumen] in Serum oder Plasma --2. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;45
12940-3;108510;Thyreotropin [Einheiten/Volumen] in Serum oder Plasma --30 Minuten vor XXX Stimulation;Atmung_Stimulation;76;Nein;46
12941-1;108510;Thyreotropin [Einheiten/Volumen] in Serum oder Plasma --2. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;47
47164-9;108510;Noradrenalin [Mol/Volumen] in Plasma --3. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;48
25759-2;108510;Insulin-ähnlicher Wachstumsfaktor [Mol/Volumen] in Serum oder Plasma --11. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;49
12458-6;108510;Corticotropin [Masse/Volumen] in Plasma --2. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;50
25655-2;108510;Gastrin [Mol/Volumen] in Serum oder Plasma --2. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;51
12506-2;108510;Calcitonin [Masse/Volumen] in Serum oder Plasma --2. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;52
12464-4;108510;Corticotropin [Masse/Volumen] in Plasma --8. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;53
12904-9;108510;Renin [Enzymaktivität/Volumen] in Plasma --6. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;54
16295-8;108510;11-Desoxycortisol [Masse/Volumen] in Serum oder Plasma --nach XXX Stimulation;Atmung_Stimulation;76;Nein;55
12946-0;108510;Thyreotropin [Einheiten/Volumen] in Serum oder Plasma --7. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;56
45204-5;108510;Glucose [Masse/Volumen] in Urin mit Teststreifen --3. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;57
48341-2;108510;17-Hydroxyprogesteron [Masse/Volumen] in Serum oder Plasma --1 Stunde nach XXX Stimulation;Atmung_Stimulation;76;Nein;58
27875-4;108510;Insulin [Einheiten/Volumen] in Serum oder Plasma --6. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;59
40267-7;108510;Creatinin [Mol/Volumen] in Serum oder Plasma --1,5 Stunden nach XXX Stimulation;Atmung_Stimulation;76;Nein;60
56496-3;108510;Prolaktin [Einheiten/Volumen] in Serum oder Plasma --2 Stunden nach XXX Stimulation;Atmung_Stimulation;76;Nein;61
56519-2;108510;11-Desoxycortisol [Masse/Volumen] in Serum oder Plasma --30 Minuten nach XXX Stimulation;Atmung_Stimulation;76;Nein;62
13423-9;108510;Adrenalin [Masse/Volumen] in Plasma --5. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;63
12619-3;108510;Glucose [Masse/Volumen] in Serum oder Plasma --5. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;64
25659-4;108510;Gastrin [Mol/Volumen] in Serum oder Plasma --6. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;65
40254-5;108510;Creatinin [Masse/Volumen] in Serum oder Plasma --2,5 Stunden nach XXX Stimulation;Atmung_Stimulation;76;Nein;66
25578-6;108510;C-Peptid [Mol/Volumen] in Serum oder Plasma --5. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;67
25793-1;108510;Thyroxin (T4) frei [Mol/Volumen] in Serum oder Plasma --4. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;68
57663-7;108510;Noradrenalin [Masse/Volumen] in Plasma --nach XXX Stimulation;Atmung_Stimulation;76;Nein;69
56504-4;108510;Corticotropin [Masse/Volumen] in Plasma --15 Minuten nach XXX Stimulation;Atmung_Stimulation;76;Nein;70
16911-0;108510;Glucose [Nachweis] in Urin --8. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;71
25576-0;108510;C-Peptid [Mol/Volumen] in Serum oder Plasma --3. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;72
18221-2;108510;Adrenalin [Masse/Volumen] in Urin --4. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;73
25619-8;108510;Cortisol [Mol/Volumen] in Serum oder Plasma --2. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;74
12937-9;108510;Thyreotropin [Einheiten/Volumen] in Serum oder Plasma --45 Minuten nach XXX Stimulation;Atmung_Stimulation;76;Nein;75
12821-5;108510;Progesteron [Masse/Volumen] in Serum oder Plasma --30 Minuten nach XXX Stimulation;Atmung_Stimulation;76;Nein;76
12902-3;108510;Renin [Enzymaktivität/Volumen] in Plasma --4. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;77
57645-4;108510;C-Peptid [Mol/Volumen] in Serum oder Plasma --10 Minuten vor XXX Stimulation;Atmung_Stimulation;76;Nein;78
41609-9;108510;Prolaktin [Masse/Volumen] in Serum oder Plasma --1 Stunde nach XXX Stimulation;Atmung_Stimulation;76;Nein;79
25570-3;108510;C-Peptid [Mol/Volumen] in Serum oder Plasma --12. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;80
56556-4;108510;11-Desoxycorticosteron [Masse/Volumen] in Serum oder Plasma --30 Minuten nach XXX Stimulation;Atmung_Stimulation;76;Nein;81
47263-9;108510;Adenosinmonophosphat.zyklisch [Mol/Volumen] in Urin --3. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;82
33818-6;108510;Insulin [Einheiten/Volumen] in Serum oder Plasma --8. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;83
27968-7;108510;Pyruvat [Masse/Volumen] in Blut --2 Stunden nach XXX Stimulation;Atmung_Stimulation;76;Nein;84
57587-8;108510;Aldosteron [Mol/Volumen] in Serum oder Plasma --2 Stunden nach XXX Stimulation;Atmung_Stimulation;76;Nein;85
25658-6;108510;Gastrin [Mol/Volumen] in Serum oder Plasma --5. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;86
12944-5;108510;Thyreotropin [Einheiten/Volumen] in Serum oder Plasma --5. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;87
27885-3;108510;Lutropin [Einheiten/Volumen] in Serum oder Plasma --1,5 Stunden nach XXX Stimulation;Atmung_Stimulation;76;Nein;88
40147-1;108510;Creatinin [Mol/Volumen] in Urin --1 Tag nach XXX Stimulation;Atmung_Stimulation;76;Nein;89
25568-7;108510;C-Peptid [Mol/Volumen] in Serum oder Plasma --10. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;90
39986-5;108510;Creatinin [Masse/Volumen] in Urin --2 Stunden nach XXX Stimulation;Atmung_Stimulation;76;Nein;91
38426-3;108510;C-Peptid [Mol/Volumen] in Serum oder Plasma --3 Stunden nach XXX Stimulation;Atmung_Stimulation;76;Nein;92
13436-1;108510;Dopamin [Masse/Volumen] in Serum oder Plasma --6. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;93
58922-6;108510;Vasopressin [Masse/Volumen] in Plasma --2 Stunden nach XXX Stimulation;Atmung_Stimulation;76;Nein;94
12567-4;108510;Cortisol [Masse/Volumen] in Serum oder Plasma --1 Stunde nach XXX Stimulation;Atmung_Stimulation;76;Nein;95
56558-0;108510;Aldosteron [Masse/Volumen] in Serum oder Plasma --10 Minuten nach XXX Stimulation;Atmung_Stimulation;76;Nein;96
32316-2;108510;Follitropin [Einheiten/Volumen] in Serum oder Plasma --30 Minuten nach XXX Stimulation;Atmung_Stimulation;76;Nein;97
12827-2;108510;Prolaktin [Masse/Volumen] in Serum oder Plasma --6. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;98
12592-2;108510;Dehydroepiandrosteron (DHEA) [Masse/Volumen] in Serum oder Plasma --4. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;99
33812-9;108510;Insulin [Einheiten/Volumen] in Serum oder Plasma --13. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;100
12824-9;108510;Prolaktin [Masse/Volumen] in Serum oder Plasma --3. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;101
14147-3;108510;Somatotropin [Masse/Volumen] in Serum oder Plasma --1,5 Stunden nach XXX Stimulation;Atmung_Stimulation;76;Nein;102
25654-5;108510;Gastrin [Mol/Volumen] in Serum oder Plasma --1. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;103
27838-2;108510;Somatotropin [Masse/Volumen] in Serum oder Plasma --14. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;104
17243-7;108510;Prolaktin [Masse/Volumen] in Serum oder Plasma --vor XXX Stimulation;Atmung_Stimulation;76;Nein;105
47140-9;108510;Adrenalin [Mol/Volumen] in Urin --2. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;106
15347-8;108510;Somatotropin [Masse/Volumen] in Serum oder Plasma --30 Minuten nach XXX Stimulation;Atmung_Stimulation;76;Nein;107
55472-5;108510;Cortisol [Mol/Volumen] in Serum oder Plasma --2,5 Stunden nach XXX Stimulation;Atmung_Stimulation;76;Nein;108
53750-6;108510;Wasserstoff/Ausatemluft [Volumenfraktion] in Exhalat --15 Minuten nach XXX Stimulation;Atmung_Stimulation;76;Nein;109
18220-4;108510;Adrenalin [Masse/Volumen] in Urin --3. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;110
51489-3;108510;Cortisol [Masse/Volumen] in Speichel --7. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;111
25582-8;108510;C-Peptid [Mol/Volumen] in Serum oder Plasma --9. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;112
12461-0;108510;Corticotropin [Masse/Volumen] in Plasma --5. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;113
12525-2;108510;Noradrenalin [Masse/Volumen] in Plasma --1 Stunde nach XXX Stimulation;Atmung_Stimulation;76;Nein;114
39998-0;108510;Glucose [Masse/Volumen] in Serum oder Plasma --30 Minuten vor XXX Stimulation;Atmung_Stimulation;76;Nein;115
27869-7;108510;Follitropin [Einheiten/Volumen] in Serum oder Plasma --8. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;116
12834-8;108510;Prolaktin [Masse/Volumen] in Serum oder Plasma --15 Minuten nach XXX Stimulation;Atmung_Stimulation;76;Nein;117
57358-4;108510;Lactat [Masse/Volumen] in Serum oder Plasma --2 Stunden nach XXX Stimulation;Atmung_Stimulation;76;Nein;118
16294-1;108510;11-Desoxycorticosteron [Masse/Volumen] in Serum oder Plasma --nach XXX Stimulation;Atmung_Stimulation;76;Nein;119
13428-8;108510;Noradrenalin [Masse/Volumen] in Plasma --4. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;120
33815-2;108510;Insulin [Einheiten/Volumen] in Serum oder Plasma --1. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;121
47191-2;108510;Trijodthyronin (T3) [Mol/Volumen] in Serum oder Plasma --2. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;122
32312-1;108510;Cortisol [Mol/Volumen] in Serum oder Plasma --2 Stunden nach XXX Stimulation;Atmung_Stimulation;76;Nein;123
12798-5;108510;Oxalat [Masse/Volumen] in Urin --10. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;124
12594-8;108510;Dehydroepiandrosteron (DHEA) [Masse/Volumen] in Serum oder Plasma --6. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;125
27348-2;108510;Dopamin [Masse/Volumen] in Serum oder Plasma --2 Stunden nach XXX Stimulation;Atmung_Stimulation;76;Nein;126
25618-0;108510;Cortisol [Mol/Volumen] in Serum oder Plasma --1. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;127
16785-8;108510;Dopamin [Masse/Volumen] in Urin --3. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;128
16735-3;108510;Dehydroepiandrosteron (DHEA) [Masse/Volumen] in Serum oder Plasma --nach XXX Stimulation;Atmung_Stimulation;76;Nein;129
21309-0;108510;Glucose [Masse/Volumen] in Serum oder Plasma --45 Minuten nach XXX Stimulation;Atmung_Stimulation;76;Nein;130
25647-9;108510;Follitropin [Einheiten/Volumen] in Serum oder Plasma mit 2. International Reference Preparation --4. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;131
33809-5;108510;Insulin [Einheiten/Volumen] in Serum oder Plasma --10. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;132
16662-9;108510;Corticotropin [Masse/Volumen] in Plasma mit Radioimmunoassay --30 Minuten nach XXX Stimulation;Atmung_Stimulation;76;Nein;133
27874-7;108510;Insulin [Einheiten/Volumen] in Serum oder Plasma --5. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;134
40849-2;108510;Glucose [Masse/Volumen] in Urin mit Teststreifen --1. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;135
25628-9;108510;Cortisol [Mol/Volumen] in Serum oder Plasma --9. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;136
27832-5;108510;Insulin [Einheiten/Volumen] in Serum oder Plasma --4. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;137
12828-0;108510;Prolaktin [Masse/Volumen] in Serum oder Plasma --7. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;138
16895-5;108510;Gastrin [Masse/Volumen] in Serum oder Plasma --30 Minuten nach XXX Stimulation;Atmung_Stimulation;76;Nein;139
16725-4;108510;Dehydroepiandrosteron-Sulfat (DHEA-S) [Masse/Volumen] in Serum oder Plasma --4. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;140
16891-4;108510;Gastrin [Masse/Volumen] in Serum oder Plasma --11. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;141
57357-6;108510;Lactat [Masse/Volumen] in Serum oder Plasma --10 Minuten nach XXX Stimulation;Atmung_Stimulation;76;Nein;142
56520-0;108510;11-Desoxycortisol [Masse/Volumen] in Serum oder Plasma --45 Minuten nach XXX Stimulation;Atmung_Stimulation;76;Nein;143
44916-5;108510;Cortisol [Mol/Volumen] in Serum oder Plasma --vor XXX Stimulation;Atmung_Stimulation;76;Nein;144
12646-6;108510;Glucose [Masse/Volumen] in Serum oder Plasma --1 Stunde nach XXX Stimulation;Atmung_Stimulation;76;Nein;145
16513-4;108510;Calcium.ionisiert [Mol/Volumen] in Serum oder Plasma --3. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;146
17019-1;108510;Insulin-ähnlicher Wachstumsfaktor I [Masse/Volumen] in Serum oder Plasma --2 Stunden nach XXX Stimulation;Atmung_Stimulation;76;Nein;147
12717-5;108510;17-Hydroxyprogesteron [Masse/Volumen] in Serum oder Plasma --3. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;148
16271-9;108510;Calcium [Masse/Volumen] in Serum oder Plasma --30 Minuten nach XXX Stimulation;Atmung_Stimulation;76;Nein;149
18342-6;108510;Glucose [Masse/Volumen] in Serum oder Plasma --3 Stunden nach XXX Stimulation;Atmung_Stimulation;76;Nein;150
12741-5;108510;Insulin [Masse/Volumen] in Serum oder Plasma --4. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;151
32313-9;108510;Cortisol [Mol/Volumen] in Serum oder Plasma --30 Minuten nach XXX Stimulation;Atmung_Stimulation;76;Nein;152
12610-2;108510;Glucose [Masse/Volumen] in Serum oder Plasma --2 Stunden nach XXX Stimulation;Atmung_Stimulation;76;Nein;153
49894-9;108510;Somatotropin [Masse/Volumen] in Serum oder Plasma --9. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;154
12829-8;108510;Prolaktin [Masse/Volumen] in Serum oder Plasma --8. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;155
13033-6;108510;C-Peptid [Masse/Volumen] in Serum oder Plasma --3. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;156
25697-4;108510;Insulin [Mol/Volumen] in Serum oder Plasma --7. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;157
53146-7;108510;Follitropin [Einheiten/Volumen] in Serum oder Plasma --45 Minuten nach XXX Stimulation;Atmung_Stimulation;76;Nein;158
12830-6;108510;Prolaktin [Masse/Volumen] in Serum oder Plasma --9. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;159
39997-2;108510;Glucose [Masse/Volumen] in Serum oder Plasma --vor XXX Stimulation;Atmung_Stimulation;76;Nein;160
39977-4;108510;Creatinin [Masse/Volumen] in Urin --vor XXX Stimulation;Atmung_Stimulation;76;Nein;161
56574-7;108510;Renin [Enzymaktivität/Volumen] in Plasma --1 Stunde nach XXX Stimulation;Atmung_Stimulation;76;Nein;162
53145-9;108510;Lutropin [Einheiten/Volumen] in Serum oder Plasma --45 Minuten nach XXX Stimulation;Atmung_Stimulation;76;Nein;163
40295-8;108510;Trijodthyronin (T3) frei [Mol/Volumen] in Serum oder Plasma --2 Stunden nach XXX Stimulation;Atmung_Stimulation;76;Nein;164
32327-9;108510;Lutropin [Einheiten/Volumen] in Serum oder Plasma --1 Stunde nach XXX Stimulation;Atmung_Stimulation;76;Nein;165
16670-2;108510;Cortisol [Masse/Volumen] in Serum oder Plasma --15 Minuten nach XXX Stimulation;Atmung_Stimulation;76;Nein;166
12955-1;108510;Trijodthyronin (T3) [Masse/Volumen] in Serum oder Plasma --4. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;167
26812-8;108510;Xylose [Masse/Volumen] in Serum oder Plasma --3. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;168
12825-6;108510;Prolaktin [Masse/Volumen] in Serum oder Plasma --4. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;169
33814-5;108510;Insulin [Einheiten/Volumen] in Serum oder Plasma --15. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;170
40131-5;108510;Creatinin [Mol/Volumen] in Urin --1 Stunde vor XXX Stimulation;Atmung_Stimulation;76;Nein;171
53754-8;108510;Wasserstoff/Ausatemluft [Volumenfraktion] in Exhalat --45 Minuten nach XXX Stimulation;Atmung_Stimulation;76;Nein;172
47151-6;108510;Adrenalin [Mol/Volumen] in Plasma --7. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;173
12559-1;108510;Cortisol [Masse/Volumen] in Serum oder Plasma --4. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;174
12562-5;108510;Cortisol [Masse/Volumen] in Serum oder Plasma --7. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;175
16905-2;108510;Glucose [Nachweis] in Urin --2. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;176
25624-8;108510;Cortisol [Mol/Volumen] in Serum oder Plasma --6. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;177
27369-8;108510;Somatotropin [Masse/Volumen] in Serum oder Plasma --2,5 Stunden nach XXX Stimulation;Atmung_Stimulation;76;Nein;178
40116-6;108510;Creatinin [Mol/Volumen] in Serum oder Plasma --30 Minuten vor XXX Stimulation;Atmung_Stimulation;76;Nein;179
32539-9;108510;17-Hydroxyprogesteron [Mol/Volumen] in Serum oder Plasma --1 Stunde nach XXX Stimulation;Atmung_Stimulation;76;Nein;180
25579-4;108510;C-Peptid [Mol/Volumen] in Serum oder Plasma --6. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;181
16517-5;108510;Calcium.ionisiert [Mol/Volumen] in Serum oder Plasma --7. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;182
25946-5;108510;Lutropin [Einheiten/Volumen] in Serum oder Plasma mit 1. International Reference Preparation --4. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;183
21381-9;108510;Prolaktin [Masse/Volumen] in Serum oder Plasma --1,5 Stunden nach XXX Stimulation;Atmung_Stimulation;76;Nein;184
56614-1;108510;17-Hydroxyprogesteron [Masse/Volumen] in Serum oder Plasma --10 Minuten nach XXX Stimulation;Atmung_Stimulation;76;Nein;185
51676-5;108510;17-Hydroxypregnenolon [Masse/Volumen] in Serum oder Plasma --2. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;186
14142-4;108510;Somatotropin [Masse/Volumen] in Serum oder Plasma --15 Minuten nach XXX Stimulation;Atmung_Stimulation;76;Nein;187
25674-3;108510;Glucose [Mol/Volumen] in Serum oder Plasma --45 Minuten nach XXX Stimulation;Atmung_Stimulation;76;Nein;188
12449-5;108510;Ketone [Masse/Volumen] in Urin mit Teststreifen --1 Stunde nach XXX Stimulation;Atmung_Stimulation;76;Nein;189
27864-8;108510;Follitropin [Einheiten/Volumen] in Serum oder Plasma --9. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;190
56611-7;108510;11-Desoxycorticosteron [Masse/Volumen] in Serum oder Plasma --1,5 Stunden nach XXX Stimulation;Atmung_Stimulation;76;Nein;191
12901-5;108510;Renin [Enzymaktivität/Volumen] in Plasma --3. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;192
40230-5;108510;Calcium [Mol/Volumen] in Serum oder Plasma --1,5 Stunden nach XXX Stimulation;Atmung_Stimulation;76;Nein;193
12942-9;108510;Thyreotropin [Einheiten/Volumen] in Serum oder Plasma --3. Probenmaterial nach XXX Stimulation;Atmung_Stimulation;76;Nein;194
