2379-6;104785;GST RBC-cCnc;MS C2 RC;60
43578-4;108037;C3 Prt-mCnc;P MS C3 PTP;64
43578-4;108039;C3 Prt-mCnc;P MS C3 RSB;64
43578-4;110828;C3 Prt-mCnc;P C3;67
43578-4;110831;C3 Prt-mCnc;P C3;67
43578-4;110860;C3 Prt-mCnc;P RTX Min;60
2022-2;101602;pCO2 CSF;SpO2;67
2022-2;102010;pCO2 CSF;SpO2;67
2022-2;102166;pCO2 CSF;PICCO PC;62
2022-2;102168;pCO2 CSF;PICCO HF;62
2022-2;102183;pCO2 CSF;ScvO2;62
2022-2;103809;pCO2 CSF;tcpCO2;71
2022-2;104116;pCO2 CSF;SpO2;67
2022-2;104731;pCO2 CSF;MS O2;62
2022-2;106412;pCO2 CSF;MS G5 petCO2;60
2022-2;107833;pCO2 CSF;MS O2;62
2022-2;107882;pCO2 CSF;MS T1 petCO2;60
2022-2;108020;pCO2 CSF;P MS C3 VCO2;70
2022-2;108021;pCO2 CSF;P MS C3 petCO2;64
2022-2;108508;pCO2 CSF;tcpO2;62
2022-2;117153;pCO2 CSF;SpO2r;62
8278-4;100795;BSA formula;sform;62
16519-1;102721;Calcium 10M p chal SerPl-sCnc;Calcium;100
16519-1;102743;Calcium 10M p chal SerPl-sCnc;Calcium;100
16519-1;103054;Calcium 10M p chal SerPl-sCnc;Calcium;100
16519-1;107934;Calcium 10M p chal SerPl-sCnc;P ADS MS ADS Calcium postFilter;61
42207-1;108718;IgG CSF/SerPl;P CSF MS ICP;64
38250-7;102721;Calcium Spec-mCnc;Calcium;100
38250-7;102743;Calcium Spec-mCnc;Calcium;100
38250-7;103054;Calcium Spec-mCnc;Calcium;100
38250-7;103062;Calcium Spec-mCnc;MS Calciumfluss;62
14584-7;104108;cAMP 24h Ur-sRate;Temperatur 2a;60
14584-7;104109;cAMP 24h Ur-sRate;Temperatur 2b;60
32306-3;101423;pCO2 Ur;CO2;60
32306-3;101434;pCO2 Ur;CO2;60
32306-3;101600;pCO2 Ur;PzvCO2;62
32306-3;102164;pCO2 Ur;PICCO SVR;62
32306-3;103809;pCO2 Ur;tcpCO2;62
32306-3;117152;pCO2 Ur;SpO2pr;62
32306-3;117153;pCO2 Ur;SpO2r;67
27828-3;108157;Insulin 3h p chal SerPl-aCnc;Insulin ja;82
27828-3;108158;Insulin 3h p chal SerPl-aCnc;Insulin nein;74
2917-3;104786;Renin sup Plas-mCnc;MS C2 Rinsp;60
8303-0;117218;Body height Prctl;G5 Body Weight;65
14905-4;104245;Vit A SerPl-sCnc;MS Servoi AF;64
14905-4;104246;Vit A SerPl-sCnc;MS Servoi Af;64
14905-4;104247;Vit A SerPl-sCnc;MS Servoi CPAP;60
10680-7;108717;HSV CSF EM;P CSF MS Pcsf;61
25372-4;108243;HCG Ur-aCnc;Geburt an;60
26787-2;106521;Anserine Amn-sCnc;Anamnese Nein;60
2381-2;102909;GSS RBC-mCnc;MS G5 RC;60
8167-9;107990;THC Mec Ql;P C3 Thoch;60
39781-0;102811;Urea Prt-sCnc;Score RTS;64
2704-5;108508;pO2 BldC;tcpO2;62
2704-5;117154;pO2 BldC;SpO2 l;71
26061-2;110917;TBEV Ab Titr Ser;MS Servoi Ti Tges;61
59574-4;101473;BMI Prctl;BMI;100
59574-4;110860;BMI Prctl;P RTX Min;67
38163-2;110930;Hepta-CP/Creat Ur;P Temperatur Rektal;61
7992-1;104236;RSV IgM Ser-aCnc;MS Servoi Cdyn;60
57833-6;100008;Rx for medication;Vormedikation;73
57833-6;104403;Rx for medication;Praemedikation;65
57833-6;105241;Rx for medication;F MedDoku Vormedikation;60
57833-6;106597;Rx for medication;Vormedikation;73
17051-4;106289;Laxatives Ur;MS ILAactivve P1;64
17051-4;106290;Laxatives Ur;MS ILAactivve P2;64
17051-4;106291;Laxatives Ur;MS ILAactivve P3;64
17051-4;106293;Laxatives Ur;MS ILAactivve P4;64
3148-4;1272;pO2 Gas;SO2;60
3148-4;101602;pO2 Gas;SpO2;73
3148-4;101628;pO2 Gas;Proc ASB;67
3148-4;102010;pO2 Gas;SpO2;73
3148-4;104035;pO2 Gas;MS NO2;62
3148-4;104116;pO2 Gas;SpO2;73
3148-4;104117;pO2 Gas;MS ILA SpO2;67
3148-4;104731;pO2 Gas;MS O2;67
3148-4;104745;pO2 Gas;Frischgas O2;63
3148-4;104780;pO2 Gas;AT O2;67
3148-4;106412;pO2 Gas;MS G5 petCO2;63
3148-4;106413;pO2 Gas;MS G5 SpO2;71
3148-4;107833;pO2 Gas;MS O2;67
3148-4;107961;pO2 Gas;P ADS ADS;67
3148-4;108509;pO2 Gas;SpO2 2;62
3148-4;110832;pO2 Gas;P Atemgas;62
3148-4;117151;pO2 Gas;SpO2po;62
3148-4;117152;pO2 Gas;SpO2pr;62
3148-4;117153;pO2 Gas;SpO2r;67
3148-4;117154;pO2 Gas;SpO2 l;62
57335-2;102721;Calcium 12h Ur-mCnc;Calcium;100
57335-2;102743;Calcium 12h Ur-mCnc;Calcium;100
57335-2;103054;Calcium 12h Ur-mCnc;Calcium;100
34916-7;107830;Plasma cell prec # Bld;PRec;100
6776-9;104108;Estrone 24h Ur-mRate;Temperatur 2a;61
6776-9;104109;Estrone 24h Ur-mRate;Temperatur 2b;61
355-8;108158;Neomycin Islt MIC;Insulin nein;62
12286-1;102796;Drugs Ur Scn;Score DRS;67
81112-5;104242;MVEV IgG Titr Ser;MS Servoi MVe;60
81112-5;104244;MVEV IgG Titr Ser;MS Servoi Mve;60
6901-3;108157;Insulin Free SerPl-aCnc;Insulin ja;82
6901-3;108158;Insulin Free SerPl-aCnc;Insulin nein;74
1834-1;104245;AFP SerPl-mCnc;MS Servoi AF;62
1834-1;104246;AFP SerPl-mCnc;MS Servoi Af;62
51656-7;15;HCV Ab s/co Fld;CO;100
51656-7;24;HCV Ab s/co Fld;CO;100
51656-7;102021;HCV Ab s/co Fld;CO;100
51656-7;102040;HCV Ab s/co Fld;p-CO;67
51656-7;102489;HCV Ab s/co Fld;CO;100
2713-6;1273;SaO2 % Bld from pO2;SaO2;100
9574-5;104240;RSV IgM Titr Ser IF;MS Servoi i;60
2000-8;102721;Calcium SerPl-sCnc;Calcium;100
2000-8;102743;Calcium SerPl-sCnc;Calcium;100
2000-8;103054;Calcium SerPl-sCnc;Calcium;100
2000-8;103062;Calcium SerPl-sCnc;MS Calciumfluss;61
96823-0;101973;Respiration Score SOFA;Score SAPS2;62
96823-0;101992;Respiration Score SOFA;Score SOFA;100
96823-0;102764;Respiration Score SOFA;Score ARDS;67
96823-0;102784;Respiration Score SOFA;Score RASS;67
96823-0;102785;Respiration Score SOFA;Score AIS;71
96823-0;102788;Respiration Score SOFA;Score Apgar;62
96823-0;102791;Respiration Score SOFA;Score BPS;71
96823-0;102792;Respiration Score SOFA;Score CIWA;67
96823-0;102795;Respiration Score SOFA;Score CRIB;67
96823-0;102796;Respiration Score SOFA;Score DRS;71
96823-0;102798;Respiration Score SOFA;Score GDS;71
96823-0;102800;Respiration Score SOFA;Score Kuss;67
96823-0;102801;Respiration Score SOFA;Score MAAS;67
96823-0;102802;Respiration Score SOFA;Score MMS;71
96823-0;102803;Respiration Score SOFA;Score MOF;71
96823-0;102804;Respiration Score SOFA;Score mRS;71
96823-0;102806;Respiration Score SOFA;Score NIHSS;62
96823-0;102807;Respiration Score SOFA;Score NIPS;67
96823-0;102810;Respiration Score SOFA;Score RSS;71
96823-0;102811;Respiration Score SOFA;Score RTS;71
96823-0;102812;Respiration Score SOFA;Score SAS;71
96823-0;102813;Respiration Score SOFA;Score Lachs;62
96823-0;102815;Respiration Score SOFA;Score VICS;67
96823-0;103444;Respiration Score SOFA;Score DGAI;67
96823-0;103458;Respiration Score SOFA;Score DGAI;67
96823-0;103506;Respiration Score SOFA;Score DGAI;67
96823-0;103507;Respiration Score SOFA;Score DGAI;67
96823-0;103509;Respiration Score SOFA;Score DGAI;67
96823-0;103510;Respiration Score SOFA;Score DGAI;67
96823-0;103511;Respiration Score SOFA;Score DGAI;67
96823-0;103512;Respiration Score SOFA;Score DGAI;67
96823-0;103513;Respiration Score SOFA;Score DGAI AufnNachOperation;60
96823-0;103518;Respiration Score SOFA;Score DGAI;67
96823-0;103523;Respiration Score SOFA;Score DGAI;67
96823-0;103527;Respiration Score SOFA;Score DGAI;67
96823-0;103536;Respiration Score SOFA;Score DGAI;67
96823-0;103538;Respiration Score SOFA;Score DGAI;67
96823-0;103540;Respiration Score SOFA;Score DGAI;67
96823-0;103543;Respiration Score SOFA;Score DGAI;67
96823-0;103544;Respiration Score SOFA;Score DGAI;67
96823-0;103545;Respiration Score SOFA;Score DGAI;67
96823-0;103550;Respiration Score SOFA;Score DGAI;67
96823-0;103551;Respiration Score SOFA;Score DGAI;67
96823-0;103554;Respiration Score SOFA;Score DGAI;67
96823-0;103556;Respiration Score SOFA;Score DGAI;67
96823-0;103557;Respiration Score SOFA;Score DGAI;67
96823-0;103558;Respiration Score SOFA;Score DGAI;67
96823-0;103559;Respiration Score SOFA;Score DGAI;67
96823-0;103560;Respiration Score SOFA;Score DGAI;67
96823-0;103562;Respiration Score SOFA;Score DGAI;67
96823-0;105103;Respiration Score SOFA;Sauerstoff RespirationBarValue;65
96823-0;105222;Respiration Score SOFA;Score NRS;71
96823-0;105223;Respiration Score SOFA;Score BPS;71
96823-0;106651;Respiration Score SOFA;Score UStix;62
96823-0;108395;Respiration Score SOFA;Score FLACC;62
96823-0;108441;Respiration Score SOFA;Score SOS;71
96823-0;108458;Respiration Score SOFA;Score SOS;71
96823-0;108680;Respiration Score SOFA;Score NACA;67
96823-0;108684;Respiration Score SOFA;Score ISS;71
96823-0;110835;Respiration Score SOFA;P Inspirationszeit;60
96823-0;110976;Respiration Score SOFA;Score FOUR;67
96823-0;117221;Respiration Score SOFA;Score;100
96823-0;117225;Respiration Score SOFA;Score Race;67
41461-5;102815;Virus Spec;Score VICS;60
31533-3;100077;Neuronal Ab Ser Ql;SM AV Intervall;61
12744-9;108157;Insulin sp7 p chal SerPl-mCnc;Insulin ja;82
12744-9;108158;Insulin sp7 p chal SerPl-mCnc;Insulin nein;74
51844-9;102794;Cortis Sal-sCnc;Score ComfortSkala;61
22420-4;104242;MuV IgM Titr Ser;MS Servoi MVe;62
22420-4;104243;MuV IgM Titr Ser;MS Servoi MVi;62
22420-4;104244;MuV IgM Titr Ser;MS Servoi Mve;62
51731-8;1273;SaO2 % BldV from pO2;SaO2;100
30089-7;110925;Trans Cells #/area UrnS HPF;P Temperatur Arteriell;60
52752-3;100203;PT PIVKA insensitive Act/Nor BldC;PT;100
52752-3;100676;PT PIVKA insensitive Act/Nor BldC;PT;100
87925-4;105011;RPR CSF-Titr;CRRT Filter;61
87925-4;107991;RPR CSF-Titr;P C3 Ti;63
87925-4;108011;RPR CSF-Titr;P C3 Ti;63
87925-4;108015;RPR CSF-Titr;P MS C3 VTi;61
87925-4;108030;RPR CSF-Titr;P MS C3 TI;64
13086-4;107985;C3 NeF SerPl-mCnc;P C3;67
13086-4;107992;C3 NeF SerPl-mCnc;P C3;67
13086-4;108010;C3 NeF SerPl-mCnc;P C3;67
13086-4;110828;C3 NeF SerPl-mCnc;P C3;67
13086-4;110831;C3 NeF SerPl-mCnc;P C3;67
51548-6;108626;Parrot Feather IgG Ql;P Lifetherm Neigung;60
14640-7;101423;CO2 Dial fld-sCnc;CO2;100
14640-7;101434;CO2 Dial fld-sCnc;CO2;100
22243-0;107988;CMV IgG CSF-aCnc;P C3 F CMV;62
10681-5;103424;HSV Tiss EM;MS Ti;62
35073-6;110789;Basophils # Prt;P BasisNa;64
27873-9;108157;Insulin p fast SerPl-aCnc;Insulin ja;82
27873-9;108158;Insulin p fast SerPl-aCnc;Insulin nein;74
2749-0;107961;pH Gast;P ADS ADS;67
2749-0;110832;pH Gast;P Atemgas;62
8336-0;117218;Bdy weight Prctl Per Age;G5 Body Weight;60
2709-4;1273;SaO2 % BldC;SaO2;100
2709-4;117154;SaO2 % BldC;SpO2 l;67
27830-9;108157;Insulin 1h p 75 g Glc PO SerPl-aCnc;Insulin ja;82
27830-9;108158;Insulin 1h p 75 g Glc PO SerPl-aCnc;Insulin nein;74
4199-6;1278;Codeine Dose;Diagnose;60
55805-6;103433;cycloSPORINE Bld LC/MS/MS-mCnc;MS i;67
55805-6;107839;cycloSPORINE Bld LC/MS/MS-mCnc;MS i;67
55805-6;110780;cycloSPORINE Bld LC/MS/MS-mCnc;P MS;67
22411-3;104242;LCMV IgM Titr Ser;MS Servoi MVe;60
22411-3;104243;LCMV IgM Titr Ser;MS Servoi MVi;60
22411-3;104244;LCMV IgM Titr Ser;MS Servoi Mve;60
38388-5;107985;C3 SerPl Ql;P C3;67
38388-5;107992;C3 SerPl Ql;P C3;67
38388-5;107998;C3 SerPl Ql;P C3 Flow;60
38388-5;108002;C3 SerPl Ql;P C3 HLI;63
38388-5;108010;C3 SerPl Ql;P C3;67
38388-5;110826;C3 SerPl Ql;P C3 Freq;60
38388-5;110828;C3 SerPl Ql;P C3;67
38388-5;110831;C3 SerPl Ql;P C3;67
40958-1;110890;C parvum Stl;P C3 SHT;60
18234-5;108157;Insulin Usub Ql;Insulin ja;82
18234-5;108158;Insulin Usub Ql;Insulin nein;74
2755-7;102408;pH Stl;p-SV;60
2755-7;110752;pH Stl;P Strahler;62
6683-7;102884;Reptilase time;RiseTime;73
2962-9;103036;GH Amn-mCnc;MS G5 fan;60
20706-8;108245;C bot Tox Spec Anim Inoc;Sectio Notsectio;60
43575-0;107985;C3 Pcar-mCnc;P C3;67
43575-0;107992;C3 Pcar-mCnc;P C3;67
43575-0;108010;C3 Pcar-mCnc;P C3;67
43575-0;108028;C3 Pcar-mCnc;P MS C3;63
43575-0;108031;C3 Pcar-mCnc;P MS C3;63
43575-0;108034;C3 Pcar-mCnc;P MS C3 RC;64
43575-0;108039;C3 Pcar-mCnc;P MS C3 RSB;61
43575-0;110828;C3 Pcar-mCnc;P C3;67
43575-0;110831;C3 Pcar-mCnc;P C3;67
49764-4;102721;Calcium Amn-mCnc;Calcium;100
49764-4;102743;Calcium Amn-mCnc;Calcium;100
49764-4;103054;Calcium Amn-mCnc;Calcium;100
49764-4;107934;Calcium Amn-mCnc;P ADS MS ADS Calcium postFilter;61
49764-4;107935;Calcium Amn-mCnc;P ADS MS ADS Calcium preFilter;61
25498-7;104247;cAMP SerPl-sCnc;MS Servoi CPAP;62
8867-4;103258;Heart rate;ApneaRate;63
8867-4;103265;Heart rate;MS BreathRate;61
8867-4;104781;Heart rate;AT Air;62
8867-4;105019;Heart rate;Rate;100
8867-4;113047;Heart rate;CRRT praeF;60
8867-4;113048;Heart rate;CRRT praeF;60
88859-4;101973;Disease stage score for risk calculation;Score SAPS2;62
88859-4;101992;Disease stage score for risk calculation;Score SOFA;67
88859-4;102764;Disease stage score for risk calculation;Score ARDS;67
88859-4;102784;Disease stage score for risk calculation;Score RASS;67
88859-4;102785;Disease stage score for risk calculation;Score AIS;71
88859-4;102788;Disease stage score for risk calculation;Score Apgar;62
88859-4;102791;Disease stage score for risk calculation;Score BPS;71
88859-4;102792;Disease stage score for risk calculation;Score CIWA;67
88859-4;102795;Disease stage score for risk calculation;Score CRIB;67
88859-4;102796;Disease stage score for risk calculation;Score DRS;71
88859-4;102798;Disease stage score for risk calculation;Score GDS;71
88859-4;102800;Disease stage score for risk calculation;Score Kuss;67
88859-4;102801;Disease stage score for risk calculation;Score MAAS;67
88859-4;102802;Disease stage score for risk calculation;Score MMS;71
88859-4;102803;Disease stage score for risk calculation;Score MOF;71
88859-4;102804;Disease stage score for risk calculation;Score mRS;71
88859-4;102806;Disease stage score for risk calculation;Score NIHSS;62
88859-4;102807;Disease stage score for risk calculation;Score NIPS;67
88859-4;102810;Disease stage score for risk calculation;Score RSS;71
88859-4;102811;Disease stage score for risk calculation;Score RTS;71
88859-4;102812;Disease stage score for risk calculation;Score SAS;71
88859-4;102813;Disease stage score for risk calculation;Score Lachs;62
88859-4;102815;Disease stage score for risk calculation;Score VICS;67
88859-4;103444;Disease stage score for risk calculation;Score DGAI;67
88859-4;103458;Disease stage score for risk calculation;Score DGAI;67
88859-4;103506;Disease stage score for risk calculation;Score DGAI;67
88859-4;103507;Disease stage score for risk calculation;Score DGAI;67
88859-4;103509;Disease stage score for risk calculation;Score DGAI;67
88859-4;103510;Disease stage score for risk calculation;Score DGAI;67
88859-4;103511;Disease stage score for risk calculation;Score DGAI;67
88859-4;103512;Disease stage score for risk calculation;Score DGAI;67
88859-4;103518;Disease stage score for risk calculation;Score DGAI;67
88859-4;103523;Disease stage score for risk calculation;Score DGAI;67
88859-4;103527;Disease stage score for risk calculation;Score DGAI;67
88859-4;103536;Disease stage score for risk calculation;Score DGAI;67
88859-4;103538;Disease stage score for risk calculation;Score DGAI;67
88859-4;103540;Disease stage score for risk calculation;Score DGAI;67
88859-4;103543;Disease stage score for risk calculation;Score DGAI;67
88859-4;103544;Disease stage score for risk calculation;Score DGAI;67
88859-4;103545;Disease stage score for risk calculation;Score DGAI;67
88859-4;103550;Disease stage score for risk calculation;Score DGAI;67
88859-4;103551;Disease stage score for risk calculation;Score DGAI;67
88859-4;103554;Disease stage score for risk calculation;Score DGAI;67
88859-4;103556;Disease stage score for risk calculation;Score DGAI;67
88859-4;103557;Disease stage score for risk calculation;Score DGAI;67
88859-4;103558;Disease stage score for risk calculation;Score DGAI;67
88859-4;103559;Disease stage score for risk calculation;Score DGAI;67
88859-4;103560;Disease stage score for risk calculation;Score DGAI;67
88859-4;103562;Disease stage score for risk calculation;Score DGAI;67
88859-4;105222;Disease stage score for risk calculation;Score NRS;71
88859-4;105223;Disease stage score for risk calculation;Score BPS;71
88859-4;106651;Disease stage score for risk calculation;Score UStix;62
88859-4;108395;Disease stage score for risk calculation;Score FLACC;62
88859-4;108441;Disease stage score for risk calculation;Score SOS;71
88859-4;108458;Disease stage score for risk calculation;Score SOS;71
88859-4;108680;Disease stage score for risk calculation;Score NACA;67
88859-4;108684;Disease stage score for risk calculation;Score ISS;71
88859-4;110976;Disease stage score for risk calculation;Score FOUR;67
88859-4;117221;Disease stage score for risk calculation;Score;100
88859-4;117225;Disease stage score for risk calculation;Score Race;67
14515-1;108720;P jiroveci Ag CSF Ql IF;P CSF Doku;67
4090-7;104251;Vancomycin Peak SerPl-mCnc;MS Servoi Ppeak;63
2711-0;1273;SaO2 % BldV;SaO2;100
2711-0;102023;SaO2 % BldV;LVSA;62
2711-0;117154;SaO2 % BldV;SpO2 l;67
162-8;104733;Cephalothin Islt KB;MS Halothan insp;63
162-8;104734;Cephalothin Islt KB;MS Halothan;60
53645-8;110890;PV Stl Cult;P C3 SHT;63
12757-1;108157;Insulin 30M pre chal SerPl-mCnc;Insulin ja;82
12757-1;108158;Insulin 30M pre chal SerPl-mCnc;Insulin nein;74
49762-8;108723;AFP Plr-mCnc;P MS AF;63
34266-7;102742;Citrate Ur-sCnc;CitratLoesung;64
34266-7;102748;Citrate Ur-sCnc;CitratLoesung;64
34266-7;103051;Citrate Ur-sCnc;Citratloesung;64
34266-7;103056;Citrate Ur-sCnc;Citratloesung;64
34266-7;103122;Citrate Ur-sCnc;Doku Citratloesung;67
34266-7;104975;Citrate Ur-sCnc;CRRT CitratBlut;60
34266-7;104986;Citrate Ur-sCnc;CRRT Doku CitratLoesung;63
34266-7;104996;Citrate Ur-sCnc;CRRT CitratBlut;60
34266-7;105007;Citrate Ur-sCnc;CRRT CitratLoesung;67
5155-7;103158;EBV NA IgG Ser Ql IF;Na;100
5155-7;103190;EBV NA IgG Ser Ql IF;Na;100
5155-7;104882;EBV NA IgG Ser Ql IF;Na;100
5155-7;104898;EBV NA IgG Ser Ql IF;Na;100
5155-7;104923;EBV NA IgG Ser Ql IF;Na;100
5155-7;104938;EBV NA IgG Ser Ql IF;Na;100
5155-7;110787;EBV NA IgG Ser Ql IF;P Na;67
5155-7;110807;EBV NA IgG Ser Ql IF;P Na;67
22261-2;110915;EEEV IgM Titr Ser;MS Servoi I E;60
53129-3;103158;Na Urate Cry #/area UrnS HPF;Na;100
53129-3;103190;Na Urate Cry #/area UrnS HPF;Na;100
53129-3;104882;Na Urate Cry #/area UrnS HPF;Na;100
53129-3;104898;Na Urate Cry #/area UrnS HPF;Na;100
53129-3;104923;Na Urate Cry #/area UrnS HPF;Na;100
53129-3;104938;Na Urate Cry #/area UrnS HPF;Na;100
53129-3;110787;Na Urate Cry #/area UrnS HPF;P Na;67
53129-3;110807;Na Urate Cry #/area UrnS HPF;P Na;67
22296-8;103158;EBV NA Ab Ser Ql;Na;100
22296-8;103190;EBV NA Ab Ser Ql;Na;100
22296-8;104882;EBV NA Ab Ser Ql;Na;100
22296-8;104898;EBV NA Ab Ser Ql;Na;100
22296-8;104923;EBV NA Ab Ser Ql;Na;100
22296-8;104938;EBV NA Ab Ser Ql;Na;100
22296-8;110787;EBV NA Ab Ser Ql;P Na;67
22296-8;110807;EBV NA Ab Ser Ql;P Na;67
50508-1;108157;Insulin sp8 SerPl-aCnc;Insulin ja;82
50508-1;108158;Insulin sp8 SerPl-aCnc;Insulin nein;74
33812-9;108157;Insulin sp13 p chal SerPl-aCnc;Insulin ja;82
33812-9;108158;Insulin sp13 p chal SerPl-aCnc;Insulin nein;74
53558-3;100081;Bacteria Smn Cult;SM Output Atrium;61
23831-1;100203;B pert.PT IgG Ser-aCnc;PT;100
23831-1;100676;B pert.PT IgG Ser-aCnc;PT;100
56927-7;104816;HCV c2 Ab Ser Ql IB;C2;100
56927-7;104822;HCV c2 Ab Ser Ql IB;C2;100
56927-7;104823;HCV c2 Ab Ser Ql IB;C2;100
56927-7;106283;HCV c2 Ab Ser Ql IB;C2;100
51865-4;103069;Plasmodium Ag Bld;ADM Plasmavolumen;65
51865-4;103085;Plasmodium Ag Bld;ADM Plasmavolumen;65
14003-8;103809;pCO2 BldCo;tcpCO2;62
14003-8;117154;pCO2 BldCo;SpO2 l;62
21465-0;107934;P falciparum Ab Titr Ser IF;P ADS MS ADS Calcium postFilter;63
21465-0;107935;P falciparum Ab Titr Ser IF;P ADS MS ADS Calcium preFilter;60
93734-2;103265;Creat 5h Ur-sRate;MS BreathRate;60
53502-1;102721;Calcium Spec-sCnt;Calcium;100
53502-1;102743;Calcium Spec-sCnt;Calcium;100
53502-1;103054;Calcium Spec-sCnt;Calcium;100
53502-1;103062;Calcium Spec-sCnt;MS Calciumfluss;62
53502-1;104962;Calcium Spec-sCnt;CRRT MS CalciumVolKum;63
53502-1;104968;Calcium Spec-sCnt;CRRT MS Calciumfluss;65
53502-1;105006;Calcium Spec-sCnt;CRRT CalciumLoesung;61
53502-1;107935;Calcium Spec-sCnt;P ADS MS ADS Calcium preFilter;60
15043-3;102811;Cortis Ur-sCnc;Score RTS;61
35694-9;104253;CEV IgG Titr Ser;Servoi I E;62
35694-9;104274;CEV IgG Titr Ser;Servoi I E;62
97186-1;108100;B para IS1001 DNA L resp Ql NAA+non-prb;Para;100
426-7;110899;PZA Titr SBT;P C3 SBT Zeitraum;62
426-7;110900;PZA Titr SBT;P C3 SBT Zeitraum;62
19212-0;102170;pCO2 BldMV;PICCO ITBV;60
19212-0;117154;pCO2 BldMV;SpO2 l;62
16518-3;102721;Calcium 2h Ur-mRate;Calcium;100
