loinc_num;copra_id;loinc_shortname;copra_name;accuracy;is_match;id
27828-3;108157;Insulin 3h p chal SerPl-aCnc;Aufnahme_Insulin_ja;82;Nein;30
27830-9;108157;Insulin 1h p 75 g Glc PO SerPl-aCnc;Aufnahme_Insulin_ja;82;Nein;31
27832-5;108157;Insulin sp4 p chal SerPl-aCnc;Aufnahme_Insulin_ja;82;Nein;32
27834-1;108157;Insulin 1.5h p 75 g Glc PO SerPl-aCnc;Aufnahme_Insulin_ja;82;Nein;33
27852-3;108157;Insulin 5h p chal SerPl-aCnc;Aufnahme_Insulin_ja;82;Nein;34
27860-6;108157;Insulin 2h p 75 g Glc PO SerPl-aCnc;Aufnahme_Insulin_ja;82;Nein;35
27863-0;108157;Insulin 2.5h p chal SerPl-aCnc;Aufnahme_Insulin_ja;82;Nein;36
27867-1;108157;Insulin sp7 p chal SerPl-aCnc;Aufnahme_Insulin_ja;82;Nein;37
27873-9;108157;Insulin p fast SerPl-aCnc;Aufnahme_Insulin_ja;82;Nein;38
27874-7;108157;Insulin sp5 p chal SerPl-aCnc;Aufnahme_Insulin_ja;82;Nein;39
27875-4;108157;Insulin sp6 p chal SerPl-aCnc;Aufnahme_Insulin_ja;82;Nein;40
30362-8;108157;Insulin 30M p 75 g Glc PO SerPl-aCnc;Aufnahme_Insulin_ja;82;Nein;41
33809-5;108157;Insulin sp10 p chal SerPl-aCnc;Aufnahme_Insulin_ja;82;Nein;42
33810-3;108157;Insulin sp11 p chal SerPl-aCnc;Aufnahme_Insulin_ja;82;Nein;43
33811-1;108157;Insulin sp12 p chal SerPl-aCnc;Aufnahme_Insulin_ja;82;Nein;44
33812-9;108157;Insulin sp13 p chal SerPl-aCnc;Aufnahme_Insulin_ja;82;Nein;45
33813-7;108157;Insulin sp14 p chal SerPl-aCnc;Aufnahme_Insulin_ja;82;Nein;46
33814-5;108157;Insulin sp15 p chal SerPl-aCnc;Aufnahme_Insulin_ja;82;Nein;47
33815-2;108157;Insulin sp1 p chal SerPl-aCnc;Aufnahme_Insulin_ja;82;Nein;48
33816-0;108157;Insulin sp2 p chal SerPl-aCnc;Aufnahme_Insulin_ja;82;Nein;49
33817-8;108157;Insulin sp3 p chal SerPl-aCnc;Aufnahme_Insulin_ja;82;Nein;50
33818-6;108157;Insulin sp8 p chal SerPl-aCnc;Aufnahme_Insulin_ja;82;Nein;51
33819-4;108157;Insulin sp9 p chal SerPl-aCnc;Aufnahme_Insulin_ja;82;Nein;52
3695-4;108157;Insulin SerPl-mCnc;Aufnahme_Insulin_ja;82;Nein;53
40290-9;108157;Insulin 1.5h p chal SerPl-sCnc;Aufnahme_Insulin_ja;82;Nein;54
43942-2;108157;Insulin Free SerPl-mCnc;Aufnahme_Insulin_ja;82;Nein;55
47663-0;108157;Insulin 30M p Glc SerPl-aCnc;Aufnahme_Insulin_ja;82;Nein;56
47862-8;108157;Insulin p meal SerPl-aCnc;Aufnahme_Insulin_ja;82;Nein;57
50501-6;108157;Insulin sp1 SerPl-aCnc;Aufnahme_Insulin_ja;82;Nein;58
50502-4;108157;Insulin sp2 SerPl-aCnc;Aufnahme_Insulin_ja;82;Nein;59
50503-2;108157;Insulin sp3 SerPl-aCnc;Aufnahme_Insulin_ja;82;Nein;60
50504-0;108157;Insulin sp4 SerPl-aCnc;Aufnahme_Insulin_ja;82;Nein;61
50505-7;108157;Insulin sp5 SerPl-aCnc;Aufnahme_Insulin_ja;82;Nein;62
50506-5;108157;Insulin sp6 SerPl-aCnc;Aufnahme_Insulin_ja;82;Nein;63
50507-3;108157;Insulin sp7 SerPl-aCnc;Aufnahme_Insulin_ja;82;Nein;64
50508-1;108157;Insulin sp8 SerPl-aCnc;Aufnahme_Insulin_ja;82;Nein;65
5232-4;108157;Insulin Ab Ser RIA-aCnc;Aufnahme_Insulin_ja;82;Nein;66
55389-1;108157;Insulin 5h p chal SerPl-sCnc;Aufnahme_Insulin_ja;82;Nein;67
56533-3;108157;Insulin IgG Ser-aCnc;Aufnahme_Insulin_ja;82;Nein;68
56546-5;108157;Insulin Ab Ser IA-aCnc;Aufnahme_Insulin_ja;82;Nein;69
56946-7;108157;Insulin 2D p chal SerPl-aCnc;Aufnahme_Insulin_ja;82;Nein;70
60463-7;108157;Insulin Ab Ser-sCnc;Aufnahme_Insulin_ja;82;Nein;71
6147-3;108157;Insulin Bovine IgE Qn;Aufnahme_Insulin_ja;82;Nein;72
6148-1;108157;Insulin Human IgE Qn;Aufnahme_Insulin_ja;82;Nein;73
6149-9;108157;Insulin Porcine IgE Qn;Aufnahme_Insulin_ja;82;Nein;74
6901-3;108157;Insulin Free SerPl-aCnc;Aufnahme_Insulin_ja;82;Nein;75
8072-1;108157;Insulin Ab Ser-aCnc;Aufnahme_Insulin_ja;82;Nein;76
8073-9;108157;Insulin Bovine Ab Ser-aCnc;Aufnahme_Insulin_ja;82;Nein;77
8074-7;108157;Insulin Human Ab Ser-aCnc;Aufnahme_Insulin_ja;82;Nein;78
8075-4;108157;Insulin Porcine Ab Ser-aCnc;Aufnahme_Insulin_ja;82;Nein;79
11087-4;108158;Insulin Ab Titr Ser;Aufnahme_Insulin_nein;74;Nein;80
12739-9;108158;Insulin sp2 p chal SerPl-mCnc;Aufnahme_Insulin_nein;74;Nein;81
12741-5;108158;Insulin sp4 p chal SerPl-mCnc;Aufnahme_Insulin_nein;74;Nein;82
12744-9;108158;Insulin sp7 p chal SerPl-mCnc;Aufnahme_Insulin_nein;74;Nein;83
12757-1;108158;Insulin 30M pre chal SerPl-mCnc;Aufnahme_Insulin_nein;74;Nein;84
14796-7;108158;Insulin SerPl-sCnc;Aufnahme_Insulin_nein;74;Nein;85
1570-1;108158;Insulin BS SerPl-mCnc;Aufnahme_Insulin_nein;74;Nein;86
1573-5;108158;Insulin p 12h fast SerPl-mCnc;Aufnahme_Insulin_nein;74;Nein;87
15792-5;108158;Insulin Bovine IgE RAST Ql;Aufnahme_Insulin_nein;74;Nein;88
15793-3;108158;Insulin Human IgE RAST Ql;Aufnahme_Insulin_nein;74;Nein;89
15794-1;108158;Insulin Porcine IgE RAST Ql;Aufnahme_Insulin_nein;74;Nein;90
18234-5;108158;Insulin Usub Ql;Aufnahme_Insulin_nein;74;Nein;91
20448-7;108158;Insulin SerPl-aCnc;Aufnahme_Insulin_nein;74;Nein;92
2481-0;108158;Insulin Ab Ser Ql;Aufnahme_Insulin_nein;74;Nein;93
2482-8;108158;Insulin Ab Ser-mCnc;Aufnahme_Insulin_nein;74;Nein;94
25447-4;108158;Insulin Free SerPl-sCnc;Aufnahme_Insulin_nein;74;Nein;95
25686-7;108158;Insulin sp11 p chal SerPl-sCnc;Aufnahme_Insulin_nein;74;Nein;96
25690-9;108158;Insulin sp15 p chal SerPl-sCnc;Aufnahme_Insulin_nein;74;Nein;97
25697-4;108158;Insulin sp7 p chal SerPl-sCnc;Aufnahme_Insulin_nein;74;Nein;98
27826-7;108158;Insulin 2h p chal SerPl-aCnc;Aufnahme_Insulin_nein;74;Nein;99
27828-3;108158;Insulin 3h p chal SerPl-aCnc;Aufnahme_Insulin_nein;74;Nein;100
27830-9;108158;Insulin 1h p 75 g Glc PO SerPl-aCnc;Aufnahme_Insulin_nein;74;Nein;101
27832-5;108158;Insulin sp4 p chal SerPl-aCnc;Aufnahme_Insulin_nein;74;Nein;102
27834-1;108158;Insulin 1.5h p 75 g Glc PO SerPl-aCnc;Aufnahme_Insulin_nein;74;Nein;103
27852-3;108158;Insulin 5h p chal SerPl-aCnc;Aufnahme_Insulin_nein;74;Nein;104
27860-6;108158;Insulin 2h p 75 g Glc PO SerPl-aCnc;Aufnahme_Insulin_nein;74;Nein;105
27863-0;108158;Insulin 2.5h p chal SerPl-aCnc;Aufnahme_Insulin_nein;74;Nein;106
27867-1;108158;Insulin sp7 p chal SerPl-aCnc;Aufnahme_Insulin_nein;74;Nein;107
27873-9;108158;Insulin p fast SerPl-aCnc;Aufnahme_Insulin_nein;74;Nein;108
27874-7;108158;Insulin sp5 p chal SerPl-aCnc;Aufnahme_Insulin_nein;74;Nein;109
27875-4;108158;Insulin sp6 p chal SerPl-aCnc;Aufnahme_Insulin_nein;74;Nein;110
27882-0;108158;Proinsulin SerPl-sCnc;Aufnahme_Insulin_nein;61;Nein;111
30362-8;108158;Insulin 30M p 75 g Glc PO SerPl-aCnc;Aufnahme_Insulin_nein;74;Nein;112
33809-5;108158;Insulin sp10 p chal SerPl-aCnc;Aufnahme_Insulin_nein;74;Nein;113
33810-3;108158;Insulin sp11 p chal SerPl-aCnc;Aufnahme_Insulin_nein;74;Nein;114
33811-1;108158;Insulin sp12 p chal SerPl-aCnc;Aufnahme_Insulin_nein;74;Nein;115
33812-9;108158;Insulin sp13 p chal SerPl-aCnc;Aufnahme_Insulin_nein;74;Nein;116
33813-7;108158;Insulin sp14 p chal SerPl-aCnc;Aufnahme_Insulin_nein;74;Nein;117
33814-5;108158;Insulin sp15 p chal SerPl-aCnc;Aufnahme_Insulin_nein;74;Nein;118
33815-2;108158;Insulin sp1 p chal SerPl-aCnc;Aufnahme_Insulin_nein;74;Nein;119
33816-0;108158;Insulin sp2 p chal SerPl-aCnc;Aufnahme_Insulin_nein;74;Nein;120
33817-8;108158;Insulin sp3 p chal SerPl-aCnc;Aufnahme_Insulin_nein;74;Nein;121
33818-6;108158;Insulin sp8 p chal SerPl-aCnc;Aufnahme_Insulin_nein;74;Nein;122
33819-4;108158;Insulin sp9 p chal SerPl-aCnc;Aufnahme_Insulin_nein;74;Nein;123
355-8;108158;Neomycin Islt MIC;Aufnahme_Insulin_nein;62;Nein;124
3695-4;108158;Insulin SerPl-mCnc;Aufnahme_Insulin_nein;74;Nein;125
40290-9;108158;Insulin 1.5h p chal SerPl-sCnc;Aufnahme_Insulin_nein;74;Nein;126
43942-2;108158;Insulin Free SerPl-mCnc;Aufnahme_Insulin_nein;74;Nein;127
47663-0;108158;Insulin 30M p Glc SerPl-aCnc;Aufnahme_Insulin_nein;74;Nein;128
47862-8;108158;Insulin p meal SerPl-aCnc;Aufnahme_Insulin_nein;74;Nein;129
50501-6;108158;Insulin sp1 SerPl-aCnc;Aufnahme_Insulin_nein;74;Nein;130
50502-4;108158;Insulin sp2 SerPl-aCnc;Aufnahme_Insulin_nein;74;Nein;131
50503-2;108158;Insulin sp3 SerPl-aCnc;Aufnahme_Insulin_nein;74;Nein;132
50504-0;108158;Insulin sp4 SerPl-aCnc;Aufnahme_Insulin_nein;74;Nein;133
50505-7;108158;Insulin sp5 SerPl-aCnc;Aufnahme_Insulin_nein;74;Nein;134
50506-5;108158;Insulin sp6 SerPl-aCnc;Aufnahme_Insulin_nein;74;Nein;135
50507-3;108158;Insulin sp7 SerPl-aCnc;Aufnahme_Insulin_nein;74;Nein;136
50508-1;108158;Insulin sp8 SerPl-aCnc;Aufnahme_Insulin_nein;74;Nein;137
5232-4;108158;Insulin Ab Ser RIA-aCnc;Aufnahme_Insulin_nein;74;Nein;138
55389-1;108158;Insulin 5h p chal SerPl-sCnc;Aufnahme_Insulin_nein;74;Nein;139
56533-3;108158;Insulin IgG Ser-aCnc;Aufnahme_Insulin_nein;74;Nein;140
56546-5;108158;Insulin Ab Ser IA-aCnc;Aufnahme_Insulin_nein;74;Nein;141
56946-7;108158;Insulin 2D p chal SerPl-aCnc;Aufnahme_Insulin_nein;74;Nein;142
60463-7;108158;Insulin Ab Ser-sCnc;Aufnahme_Insulin_nein;74;Nein;143
6147-3;108158;Insulin Bovine IgE Qn;Aufnahme_Insulin_nein;74;Nein;144
6148-1;108158;Insulin Human IgE Qn;Aufnahme_Insulin_nein;74;Nein;145
6149-9;108158;Insulin Porcine IgE Qn;Aufnahme_Insulin_nein;74;Nein;146
6901-3;108158;Insulin Free SerPl-aCnc;Aufnahme_Insulin_nein;74;Nein;147
8072-1;108158;Insulin Ab Ser-aCnc;Aufnahme_Insulin_nein;74;Nein;148
8073-9;108158;Insulin Bovine Ab Ser-aCnc;Aufnahme_Insulin_nein;74;Nein;149
8074-7;108158;Insulin Human Ab Ser-aCnc;Aufnahme_Insulin_nein;74;Nein;150
8075-4;108158;Insulin Porcine Ab Ser-aCnc;Aufnahme_Insulin_nein;74;Nein;151
20706-8;108245;C bot Tox Spec Anim Inoc;Aufnahme_Sectio_Notsectio;60;Nein;152
44274-9;108245;C bot Tox Spec IA;Aufnahme_Sectio_Notsectio;61;Nein;153
44796-1;108245;C bot Tox Spec;Aufnahme_Sectio_Notsectio;60;Nein;154
48037-6;101608;pH Vag;Beatmung_Anordnung_AbbruchkriterienPHzv;60;Nein;155
32306-3;101600;pCO2 Ur;Beatmung_Anordnung_AbbruchkriterienPzvCO2;62;Nein;156
2022-2;101602;pCO2 CSF;Beatmung_Anordnung_AbbruchkriterienSpO2;67;Nein;157
3148-4;101602;pO2 Gas;Beatmung_Anordnung_AbbruchkriterienSpO2;73;Nein;158
8278-4;100795;BSA formula;Beatmung_Anordnung_Beatmungsform;62;Nein;159
3151-8;100113;Inhaled O2 flow rate;Beatmung_Anordnung_Flow;100;Nein;160
95420-6;117219;Admitted to ICU for condition;Beatmung_Einstellung_Balken_ICU_IMC;60;Nein;161
14196-0;102657;Retics #;Beatmung_Einstellung_ETS;67;Nein;162
3151-8;100104;Inhaled O2 flow rate;Beatmung_Einstellung_Flow;100;Nein;163
2499-2;104147;Iron 24h Ur-mRate;Beatmung_ES_Airvo_Temperatur;61;Nein;164
8310-5;104147;Body temperature;Beatmung_ES_Airvo_Temperatur;75;Nein;165
6857-7;103414;Spruce IgE Qn;Beatmung_ES_Avea_InspDruck;64;Nein;166
43951-3;104809;CD2 Cells # Tiss;Beatmung_ES_C2_ETS;60;Nein;167
16713-0;105080;CMV Ab CSF-aCnc;Beatmung_ES_C2_F_CMV;61;Nein;168
40747-8;104822;C2 SerPl Ql;Beatmung_ES_C2_IEVerhaeltnis;100;Nein;169
4484-2;104822;C2 SerPl-mCnc;Beatmung_ES_C2_IEVerhaeltnis;100;Nein;170
56927-7;104822;HCV c2 Ab Ser Ql IB;Beatmung_ES_C2_IEVerhaeltnis;100;Nein;171
69379-6;104822;van(A+B+C1+C2) genes Islt/Spm;Beatmung_ES_C2_IEVerhaeltnis;100;Nein;172
40747-8;106283;C2 SerPl Ql;Beatmung_ES_C2_IEVerhaeltnis_Backup;100;Nein;173
4484-2;106283;C2 SerPl-mCnc;Beatmung_ES_C2_IEVerhaeltnis_Backup;100;Nein;174
56927-7;106283;HCV c2 Ab Ser Ql IB;Beatmung_ES_C2_IEVerhaeltnis_Backup;100;Nein;175
69379-6;106283;van(A+B+C1+C2) genes Islt/Spm;Beatmung_ES_C2_IEVerhaeltnis_Backup;100;Nein;176
5995-6;105078;PA Coll PRP;Beatmung_ES_C2_PEEP_CPAP_Ptief;61;Nein;177
40747-8;104816;C2 SerPl Ql;Beatmung_ES_C2_Ptief;100;Nein;178
4484-2;104816;C2 SerPl-mCnc;Beatmung_ES_C2_Ptief;100;Nein;179
56927-7;104816;HCV c2 Ab Ser Ql IB;Beatmung_ES_C2_Ptief;100;Nein;180
69379-6;104816;van(A+B+C1+C2) genes Islt/Spm;Beatmung_ES_C2_Ptief;100;Nein;181
40747-8;104823;C2 SerPl Ql;Beatmung_ES_C2_Vt;100;Nein;182
4484-2;104823;C2 SerPl-mCnc;Beatmung_ES_C2_Vt;100;Nein;183
56927-7;104823;HCV c2 Ab Ser Ql IB;Beatmung_ES_C2_Vt;100;Nein;184
69379-6;104823;van(A+B+C1+C2) genes Islt/Spm;Beatmung_ES_C2_Vt;100;Nein;185
15164-7;110827;C3 Snv-mCnc;Beatmung_ES_C3_F_SIMV;60;Nein;186
6801-5;110827;C3 Fld-mCnc;Beatmung_ES_C3_F_SIMV;60;Nein;187
3151-8;103087;Inhaled O2 flow rate;Beatmung_ES_F120_Flow;62;Nein;188
29463-7;117218;Weight;Beatmung_ES_G5_Body_Weight;100;Nein;189
3141-9;117218;Weight Measured;Beatmung_ES_G5_Body_Weight;60;Nein;190
8302-2;117218;Body height;Beatmung_ES_G5_Body_Weight;80;Nein;191
8303-0;117218;Body height Prctl;Beatmung_ES_G5_Body_Weight;65;Nein;192
8336-0;117218;Bdy weight Prctl Per Age;Beatmung_ES_G5_Body_Weight;60;Nein;193
8339-4;117218;Birth weight Measured;Beatmung_ES_G5_Body_Weight;60;Nein;194
8302-2;105082;Body height;Beatmung_ES_G5_Body_Wt;67;Nein;195
45286-2;105083;CMV IgA Fld Ql;Beatmung_ES_G5_F_CMV;64;Nein;196
50018-1;105083;CMV IgG Fld Ql;Beatmung_ES_G5_F_CMV;64;Nein;197
3151-8;108525;Inhaled O2 flow rate;Beatmung_ES_G5_Flow;73;Nein;198
3151-8;107821;Inhaled O2 flow rate;Beatmung_ES_Leoni_Flow;100;Nein;199
14196-0;107828;Retics #;Beatmung_ES_Leoni_IRec;60;Nein;200
2743-3;107831;pH Amn;Beatmung_ES_Leoni_P_man;73;Nein;201
14196-0;107830;Retics #;Beatmung_ES_Leoni_PRec;60;Nein;202
33633-9;107830;HBV preC TAG Mut Ser Ql NAA+probe;Beatmung_ES_Leoni_PRec;100;Nein;203
33848-3;107830;Plasma cell prec # Bld Manual;Beatmung_ES_Leoni_PRec;100;Nein;204
33849-1;107830;Plasma cell prec/leuk NFr Bld Manual;Beatmung_ES_Leoni_PRec;100;Nein;205
34916-7;107830;Plasma cell prec # Bld;Beatmung_ES_Leoni_PRec;100;Nein;206
34917-5;107830;Plasma cell prec/leuk NFr Bld;Beatmung_ES_Leoni_PRec;100;Nein;207
91120-6;104033;AT III PPP Chromo.no added heparin;Beatmung_ES_NO;100;Nein;208
3150-0;106783;Inhaled O2 concentration;Beatmung_ES_Optiflow_O2Konzentration;62;Nein;209
11187-2;104748;P frequentans IgE Qn;Beatmung_ES_Pallas_Frequenz_Min;62;Nein;210
3148-4;104745;pO2 Gas;Beatmung_ES_Pallas_Frischgas_O2;63;Nein;211
13069-0;104717;PS IgA Ser-aCnc;Beatmung_ES_Pallas_PS;100;Nein;212
14245-5;104717;PS IgG Ser-aCnc;Beatmung_ES_Pallas_PS;100;Nein;213
14246-3;104717;PS IgM Ser-aCnc;Beatmung_ES_Pallas_PS;100;Nein;214
30500-3;104717;PS IgA Ser Ql;Beatmung_ES_Pallas_PS;100;Nein;215
32031-7;104717;PS IgA Ser IA-aCnc;Beatmung_ES_Pallas_PS;100;Nein;216
32032-5;104717;PS IgG Ser IA-aCnc;Beatmung_ES_Pallas_PS;100;Nein;217
33310-4;104717;PS Ab Ser Ql;Beatmung_ES_Pallas_PS;100;Nein;218
9326-0;104717;PS IgG Ser Ql IA;Beatmung_ES_Pallas_PS;100;Nein;219
9327-8;104717;PS IgM Ser Ql IA;Beatmung_ES_Pallas_PS;100;Nein;220
14359-4;104714;Gram Stn Prt;Beatmung_ES_Pallas_T_Rampe;63;Nein;221
14360-2;104714;Gram Stn Plr;Beatmung_ES_Pallas_T_Rampe;63;Nein;222
643-7;104714;Gram Stn Pus;Beatmung_ES_Pallas_T_Rampe;63;Nein;223
648-6;104714;Gram Stn Spt;Beatmung_ES_Pallas_T_Rampe;63;Nein;224
664-3;104714;Gram Stn Spec;Beatmung_ES_Pallas_T_Rampe;70;Nein;225
35694-9;104253;CEV IgG Titr Ser;Beatmung_ES_Servoi_Backup_I_E;62;Nein;226
35695-6;104253;CEV IgM Titr Ser;Beatmung_ES_Servoi_Backup_I_E;62;Nein;227
8069-7;104259;Epidis Ab Titr Ser;Beatmung_ES_Servoi_EDI_Trigger;61;Nein;228
35694-9;104274;CEV IgG Titr Ser;Beatmung_ES_Servoi_I_E;62;Nein;229
35695-6;104274;CEV IgM Titr Ser;Beatmung_ES_Servoi_I_E;62;Nein;230
47383-5;104260;ANA Ser Ql IA;Beatmung_ES_Servoi_Nava_Pegel;60;Nein;231
2753-2;104267;pH SerPl;Beatmung_ES_Servoi_Phoch;60;Nein;232
32559-7;104272;Tau Prot Ser-mCnc;Beatmung_ES_Servoi_Tpause_Prozent;63;Nein;233
20657-3;104273;Taurine SerPl-sCnc;Beatmung_ES_Servoi_Tpause_s;61;Nein;234
51834-0;104273;Tryptase SerPl-sCnc;Beatmung_ES_Servoi_Tpause_s;65;Nein;235
22240-6;106634;CMV Ab Titr CSF;Beatmung_ES_T1_F_CMV;61;Nein;236
3151-8;113046;Inhaled O2 flow rate;Beatmung_ES_T1_Flow;73;Nein;237
10333-3;103258;Appearance CSF;Beatmung_ES_VisionA_ApneaRate;61;Nein;238
11158-3;103258;Appearance Ser;Beatmung_ES_VisionA_ApneaRate;61;Nein;239
14620-9;103258;Appearance Plr;Beatmung_ES_VisionA_ApneaRate;61;Nein;240
14621-7;103258;Appearance Prt;Beatmung_ES_VisionA_ApneaRate;61;Nein;241
29605-3;103258;Appearance Snv;Beatmung_ES_VisionA_ApneaRate;61;Nein;242
29636-8;103258;Appearance Stl;Beatmung_ES_VisionA_ApneaRate;61;Nein;243
33455-7;103258;Appearance Spt;Beatmung_ES_VisionA_ApneaRate;61;Nein;244
5767-9;103258;Appearance Ur;Beatmung_ES_VisionA_ApneaRate;64;Nein;245
8867-4;103258;Heart rate;Beatmung_ES_VisionA_ApneaRate;63;Nein;246
9335-1;103258;Appearance Fld;Beatmung_ES_VisionA_ApneaRate;61;Nein;247
14196-0;103081;Retics #;Beatmung_ES_VisionA_ETS;67;Nein;248
13069-0;102883;PS IgA Ser-aCnc;Beatmung_ES_VisionA_PS;100;Nein;249
14245-5;102883;PS IgG Ser-aCnc;Beatmung_ES_VisionA_PS;100;Nein;250
14246-3;102883;PS IgM Ser-aCnc;Beatmung_ES_VisionA_PS;100;Nein;251
30500-3;102883;PS IgA Ser Ql;Beatmung_ES_VisionA_PS;100;Nein;252
32031-7;102883;PS IgA Ser IA-aCnc;Beatmung_ES_VisionA_PS;100;Nein;253
32032-5;102883;PS IgG Ser IA-aCnc;Beatmung_ES_VisionA_PS;100;Nein;254
33310-4;102883;PS Ab Ser Ql;Beatmung_ES_VisionA_PS;100;Nein;255
9326-0;102883;PS IgG Ser Ql IA;Beatmung_ES_VisionA_PS;100;Nein;256
9327-8;102883;PS IgM Ser Ql IA;Beatmung_ES_VisionA_PS;100;Nein;257
6683-7;102884;Reptilase time;Beatmung_ES_VisionA_RiseTime;73;Nein;258
11211-0;101434;CO2 Fld-sCnc;Beatmung_Messung_CO2;100;Nein;259
13538-4;101434;CO2 Ur-sCnc;Beatmung_Messung_CO2;100;Nein;260
14040-0;101434;CO2 Stl-sCnc;Beatmung_Messung_CO2;100;Nein;261
14640-7;101434;CO2 Dial fld-sCnc;Beatmung_Messung_CO2;100;Nein;262
16551-4;101434;CO2 BldC-sCnc;Beatmung_Messung_CO2;100;Nein;263
2026-3;101434;CO2 BldA-sCnc;Beatmung_Messung_CO2;100;Nein;264
2027-1;101434;CO2 BldV-sCnc;Beatmung_Messung_CO2;100;Nein;265
2028-9;101434;CO2 SerPl-sCnc;Beatmung_Messung_CO2;100;Nein;266
20565-8;101434;CO2 Bld-sCnc;Beatmung_Messung_CO2;100;Nein;267
32306-3;101434;pCO2 Ur;Beatmung_Messung_CO2;60;Nein;268
34520-7;101434;CO2 BldCo-sCnc;Beatmung_Messung_CO2;100;Nein;269
34728-6;101434;CO2 Bld Calc-sCnc;Beatmung_Messung_CO2;100;Nein;270
38253-1;101434;CO2 Spec-sCnc;Beatmung_Messung_CO2;100;Nein;271
39465-0;101434;CO2 BldCoV-sCnc;Beatmung_Messung_CO2;100;Nein;272
41647-9;101434;CO2 BldA Calc-sCnc;Beatmung_Messung_CO2;100;Nein;273
51781-3;101434;CO2 BldC Calc-sCnc;Beatmung_Messung_CO2;100;Nein;274
57921-9;101434;CO2 BldCoA Calc-sCnc;Beatmung_Messung_CO2;100;Nein;275
19817-6;101433;Complications;Beatmung_Messung_Compliance;70;Nein;276
3151-8;100273;Inhaled O2 flow rate;Beatmung_Messung_Flow;100;Nein;277
8478-0;101441;BP mean;Beatmung_Messung_Pmean;83;Nein;278
2752-4;101443;pH Smn;Beatmung_Messung_Pmin;60;Nein;279
2190-7;103431;DHEA-S Amn-mCnc;Beatmung_MS_Avea_MandVte;61;Nein;280
18970-4;103422;Pip+Tazo Susc Islt;Beatmung_MS_Avea_PIP;67;Nein;281
411-9;103422;Pip+Tazo Islt MLC;Beatmung_MS_Avea_PIP;67;Nein;282
412-7;103422;Pip+Tazo Islt MIC;Beatmung_MS_Avea_PIP;67;Nein;283
413-5;103422;Pip+Tazo Islt KB;Beatmung_MS_Avea_PIP;67;Nein;284
414-3;103422;Pip+Tazo Titr SBT;Beatmung_MS_Avea_PIP;67;Nein;285
7044-1;103422;Pip+Tazo Islt Grad strip;Beatmung_MS_Avea_PIP;67;Nein;286
10681-5;103424;HSV Tiss EM;Beatmung_MS_Avea_Ti;62;Nein;287
100342-5;103433;VOCs (volatiles) SARS-CoV-2 ExG Ql GC-MS;Beatmung_MS_Avea_Vti;67;Nein;288
1827-5;103433;A1AT MS SerPl-mCnc;Beatmung_MS_Avea_Vti;67;Nein;289
