93734-2;105085;Creat 5h Ur-sRate;Respirator G5;60
93734-2;105086;Creat 5h Ur-sRate;Respirator G5;60
93734-2;106636;Creat 5h Ur-sRate;Respirator G5;60
93734-2;106638;Creat 5h Ur-sRate;Respirator G5;60
53502-1;102763;Calcium Spec-sCnt;Calcium Lösung;70
53502-1;103052;Calcium Spec-sCnt;Calciumbeutel;60
53502-1;103058;Calcium Spec-sCnt;Calciumrate;64
53502-1;103062;Calcium Spec-sCnt;Calciumrate;64
53502-1;103121;Calcium Spec-sCnt;Calciumlösung;62
426-7;106370;PZA Titr SBT;Zeit SBT;70
426-7;110876;PZA Titr SBT;Zeit SBT;70
426-7;110877;PZA Titr SBT;Zeit SBT;70
16518-3;102763;Calcium 2h Ur-mRate;Calcium Lösung;70
16518-3;103058;Calcium 2h Ur-mRate;Calciumrate;73
16518-3;103062;Calcium 2h Ur-mRate;Calciumrate;73
19076-9;112020;Total Cells Counted Spec;EEG - Total Power - Channel;60
19076-9;112021;Total Cells Counted Spec;EEG - Total Power - Channel;60
2019-8;103809;pCO2 BldA;transcutan pCO2;62
46099-8;102763;Calcium Album cor SerPl-mCnc;Calcium Lösung;70
34440-8;102529;Interpretation Ur IEP-Imp;I:E Inspiration;65
11187-2;104354;P frequentans IgE Qn;IABP Frequenz.;61
11187-2;106472;P frequentans IgE Qn;IABP Frequenz;61
3150-0;103267;Inhaled O2 concentration;O2 Konzentration Gases;61
3150-0;104034;Inhaled O2 concentration;Messwert NO Konzentration NO;61
3150-0;104035;Inhaled O2 concentration;Messwert NO2 Konzentration NO;60
3150-0;110840;Inhaled O2 concentration;O2 Konzentration;70
1970-3;106312;Bilirub Delta SerPl-mCnc;Delta P2/P3;62
32067-1;112017;Digoxin Free SerPl-sCnc;Spectral Edge Frequency;61
16836-9;104256;E coli VT Stl Cult;Vt;100
16836-9;104719;E coli VT Stl Cult;Vt.;100
16836-9;104752;E coli VT Stl Cult;Vt;100
16526-6;102763;Calcium/Prot SerPl;Calcium Lösung;70
16526-6;103052;Calcium/Prot SerPl;Calciumbeutel;65
16526-6;103058;Calcium/Prot SerPl;Calciumrate;69
16526-6;103062;Calcium/Prot SerPl;Calciumrate;69
39085-6;112020;Calif Walnut Poln IgE/IgE total %;EEG - Total Power - Channel;60
39085-6;112021;Calif Walnut Poln IgE/IgE total %;EEG - Total Power - Channel;60
29304-3;104403;Medication dispensed;Prämedikation;62
70266-2;103054;Creat Prt/Ser;Ca rate;60
70266-2;103057;Creat Prt/Ser;Citratrate;61
70266-2;103061;Creat Prt/Ser;Citratrate;61
1998-4;102763;Calcium Dial fld-sCnc;Calcium Lösung;70
1998-4;103121;Calcium Dial fld-sCnc;Calciumlösung;61
35067-8;103209;Blasts # Fld;Basisfluss;60
35067-8;110833;Blasts # Fld;Basisfluss;60
17862-4;102763;Calcium Ur-mCnc;Calcium Lösung;70
17862-4;103058;Calcium Ur-mCnc;Calciumrate;62
17862-4;103062;Calcium Ur-mCnc;Calciumrate;62
32821-1;102529;Interpretation Fld IFE-Imp;I:E Inspiration;63
3086-6;103054;Urate Ur-mCnc;Ca rate;60
74775-8;103443;Platelet # PRP Auto;AutoPEEP;64
3089-0;103054;Urate/Creat Ur;Ca rate;67
3089-0;103057;Urate/Creat Ur;Citratrate;67
3089-0;103061;Urate/Creat Ur;Citratrate;67
42593-4;102763;Calcium BldC-sCnc;Calcium Lösung;73
42593-4;103121;Calcium BldC-sCnc;Calciumlösung;62
16271-9;102763;Calcium 30M p chal SerPl-mCnc;Calcium Lösung;70
15038-3;103051;Citrate SerPl-sCnc;Citratbeutel;60
47420-5;106649;Functional status note;Status;100
47420-5;108042;Functional status note;Ectopic Status;60
9278-3;103054;Breath rate special circumstances;Ca rate;73
27037-1;102763;Calcium/Creat 2h Ur;Calcium Lösung;70
27037-1;103058;Calcium/Creat 2h Ur;Calciumrate;67
27037-1;103062;Calcium/Creat 2h Ur;Calciumrate;67
18186-7;102763;Calcium 12h Ur-mRate;Calcium Lösung;70
18186-7;103058;Calcium 12h Ur-mRate;Calciumrate;71
18186-7;103062;Calcium 12h Ur-mRate;Calciumrate;71
33603-2;104355;BPI IgG Ser-aCnc;Triggers IABP.;62
33603-2;106473;BPI IgG Ser-aCnc;Triggers IABP;62
35072-8;103209;Basophils # CSF;Basisfluss;61
35072-8;110833;Basophils # CSF;Basisfluss;61
35071-0;103209;Basophils # Fld;Basisfluss;61
35071-0;110833;Basophils # Fld;Basisfluss;61
3562-6;112017;Digoxin Free SerPl-mCnc;Spectral Edge Frequency;61
1996-8;102763;Calcium Bld-sCnc;Calcium Lösung;76
1996-8;103121;Calcium Bld-sCnc;Calciumlösung;64
63895-7;106649;Breastfeeding status;Status;100
63895-7;108042;Breastfeeding status;Ectopic Status;60
82463-1;102763;Aluminum Bld-sCnc;Calcium Lösung;60
50836-6;102763;Calcium Hair-sCnt;Calcium Lösung;70
50836-6;103058;Calcium Hair-sCnt;Calciumrate;64
50836-6;103062;Calcium Hair-sCnt;Calciumrate;64
50836-6;103121;Calcium Hair-sCnt;Calciumlösung;62
52776-2;101444;CT.intrinsic Bld ROTEM;Intrinsic PEEP;78
49005-2;102763;Calcium DiafP-sCnc;Calcium Lösung;70
49005-2;103121;Calcium DiafP-sCnc;Calciumlösung;60
49274-4;102060;Interpretation SerPl IEP-Imp;Inspirationszeit I:E;62
49274-4;102529;Interpretation SerPl IEP-Imp;I:E Inspiration;60
7289-2;103080;Duck Feather IgG Qn;Druck . Flowtrigger;61
42857-3;102763;Calcium BldV-sCnc;Calcium Lösung;73
42857-3;103121;Calcium BldV-sCnc;Calciumlösung;62
2001-6;102763;Calcium 24h Stl-sCnc;Calcium Lösung;70
13440-3;102529;Interpretation Ur IFE-Imp;I:E Inspiration;65
52771-3;101444;CFT.intrinsic Bld ROTEM;Intrinsic PEEP;78
2021-4;103809;pCO2 BldV;transcutan pCO2;62
40685-0;102529;Interpretation CSF IEP-Imp;I:E Inspiration;63
11557-6;103809;pCO2 Bld;transcutan pCO2;67
55594-6;103080;Duck Feather IgE Ql;Druck . Flowtrigger;61
26516-5;103066;Platelet # Plas;Plasmarate;61
26516-5;103068;Platelet # Plas;Plasmarate;61
26516-5;103070;Platelet # Plas;Plasmarate;61
26516-5;104771;Platelet # Plas;Patientengewicht Pallas;61
14637-3;102763;Calcium 24h Ur-sRate;Calcium Lösung;70
14637-3;103058;Calcium 24h Ur-sRate;Calciumrate;71
14637-3;103062;Calcium 24h Ur-sRate;Calciumrate;71
51610-4;102763;Calcium 12h Ur-sRate;Calcium Lösung;70
51610-4;103058;Calcium 12h Ur-sRate;Calciumrate;71
51610-4;103062;Calcium 12h Ur-sRate;Calciumrate;71
30055-8;110931;Phe/Creat Ur-Rto;Temperatur iat;60
75218-8;103054;Case rprt;Ca rate;62
6100-2;103080;Duck Feather IgE Qn;Druck . Flowtrigger;61
51480-2;110931;Bacteria # Ur Auto;Temperatur iat;60
29554-3;104247;Procedure;Pressure;71
29554-3;104717;Procedure;Pressure;71
2005-7;102763;Calcium p 12h fast 2h Ur-sRate;Calcium Lösung;70
4283-8;102529;Imipramine Dose;I:E Inspiration;60
52781-2;101444;MCF.intrinsic Bld ROTEM;Intrinsic PEEP;78
14348-7;100270;Sp Gr Prt Refractometry;Respiratory Rate (spontan);60
14348-7;112010;Sp Gr Prt Refractometry;Gewicht Refraktometer;64
9279-1;100270;Resp rate;Respiratory Rate (spontan);62
9279-1;100273;Resp rate;Respiratory Rate (Volume/Flow);62
9279-1;102027;Resp rate;Rate Druck Produkt;62
9279-1;103054;Resp rate;Ca rate;73
49272-8;102529;Interpretation CSF IEP-Imp;I:E Inspiration;63
40230-5;102763;Calcium 1.5h p chal SerPl-sCnc;Calcium Lösung;70
57828-6;104403;Prescriptions;Prämedikation;64
38255-6;112020;Cat Dander IgE/IgE total %;EEG - Total Power - Channel;60
38255-6;112021;Cat Dander IgE/IgE total %;EEG - Total Power - Channel;60
49765-1;102763;Calcium Bld-mCnc;Calcium Lösung;70
29463-7;6;Weight;Gewicht;62
29463-7;103271;Weight;Zeit;60
29463-7;104258;Weight;Gewicht;62
29463-7;110904;Weight;Gewicht Gewicht;62
14650-6;103057;Citrate 24h Ur-sRate;Citratrate;67
14650-6;103061;Citrate 24h Ur-sRate;Citratrate;67
24518-3;102763;Calcium/Creat Ur-sRto;Calcium Lösung;70
24518-3;103058;Calcium/Creat Ur-sRto;Calciumrate;62
24518-3;103062;Calcium/Creat Ur-sRto;Calciumrate;62
19817-6;101433;Complications;Compliance;70
19817-6;102907;Complications;Statische Compliance;67
19817-6;103440;Complications;statische Compliance;67
19817-6;104235;Complications;Statische Compliance;67
19817-6;107871;Complications;Statische Compliance;67
19817-6;108036;Complications;Statische Compliance;67
11556-8;108508;pO2 Bld;transcutan pO2;60
44760-7;101609;MELD score;Score Braden-Scores Zeitpunkt Zeitachse;67
46-3;106370;Aztreonam Titr SBT;Zeit SBT;62
46-3;110876;Aztreonam Titr SBT;Zeit SBT;62
46-3;110877;Aztreonam Titr SBT;Zeit SBT;62
3151-8;100273;Inhaled O2 flow rate;Respiratory Rate (Volume/Flow);62
3151-8;103054;Inhaled O2 flow rate;Ca rate;73
38465-1;112020;Chicken IgE/IgE total %;EEG - Total Power - Channel;60
38465-1;112021;Chicken IgE/IgE total %;EEG - Total Power - Channel;60
13169-8;102060;Interpretation SerPl IEP-Imp;Inspirationszeit I:E;62
13169-8;102529;Interpretation SerPl IEP-Imp;I:E Inspiration;60
14415-4;102763;Calcium Amn-sCnc;Calcium Lösung;70
14415-4;103121;Calcium Amn-sCnc;Calciumlösung;64
39544-2;112020;Yellow Hornet IgE/IgE total %;EEG - Total Power - Channel;61
39544-2;112021;Yellow Hornet IgE/IgE total %;EEG - Total Power - Channel;61
5878-4;104356;Rickettsia Bld Cult;Blutdruckes IABP.;63
5878-4;106468;Rickettsia Bld Cult;Blutdruckes IABP;63
2004-0;102763;Calcium Ur-sCnc;Calcium Lösung;71
2004-0;103058;Calcium Ur-sCnc;Calciumrate;62
2004-0;103062;Calcium Ur-sCnc;Calciumrate;62
2004-0;103121;Calcium Ur-sCnc;Calciumlösung;67
52787-9;101444;ML.intrinsic LenFr Bld ROTEM;Intrinsic PEEP;78
14934-4;103054;Urate Ur-sCnc;Ca rate;60
22665-4;106312;Bilirub Delta SerPl-sCnc;Delta P2/P3;62
91120-6;104033;AT III PPP Chromo.no added heparin;NO NO;100
33790-7;102763;Calcium sp1 p chal Ur-sCnc;Calcium Lösung;70
14417-0;102763;Calcium Prt-sCnc;Calcium Lösung;70
14417-0;103058;Calcium Prt-sCnc;Calciumrate;67
14417-0;103062;Calcium Prt-sCnc;Calciumrate;67
14417-0;103121;Calcium Prt-sCnc;Calciumlösung;64
31111-8;101434;Reticulocyte production index;CO2-Production;83
8478-0;101441;BP mean;Mean Pressure;73
8478-0;106776;BP mean;Messung ABP1;63
8478-0;106777;BP mean;Messung ABP2;63
25362-5;102763;Calcium 24h Ur-sCnc;Calcium Lösung;70
12181-4;102763;Calcium Fld-sCnc;Calcium Lösung;76
12181-4;103121;Calcium Fld-sCnc;Calciumlösung;71
8310-5;1270;Body temperature;Körpertemperatur;65
8310-5;102943;Body temperature;Temperatur;77
8310-5;102956;Body temperature;Temperatur;77
8310-5;102968;Body temperature;Temperatur;77
8310-5;102993;Body temperature;Temperatur;77
8310-5;103715;Body temperature;Temperatur PICCO Messung;60
8310-5;103731;Body temperature;Temperatur ECMO Gerät;67
8310-5;103734;Body temperature;Temperaturwert ECMO (Gerät);65
8310-5;107854;Body temperature;Luftemperatur;69
8310-5;107857;Body temperature;Messung Luftemperatur Inkubator;60
8310-5;110931;Body temperature;Temperatur iat;73
27172-6;102763;Calcium 24h Stl-mCnt;Calcium Lösung;70
82810-3;106649;Pregnancy status;Status;100
82810-3;108042;Pregnancy status;Ectopic Status;60
30525-0;7;Age;Größe;67
30525-0;101323;Age;Größe;67
30525-0;104241;Age;Leckage;60
30525-0;104728;Age;Leckage.;60
17861-6;102763;Calcium SerPl-mCnc;Calcium Lösung;70
40083-8;102763;Calcium 1D p chal SerPl-mCnc;Calcium Lösung;70
4115-2;102178;Amikacin Dose;Cardiac index;62
4115-2;110922;Amikacin Dose;Cardiac Index;62
57932-6;112020;Cheddar IgE/IgE total %;EEG - Total Power - Channel;60
57932-6;112021;Cheddar IgE/IgE total %;EEG - Total Power - Channel;60
14832-0;101441;MetanephS Ur-sCnc;Mean Pressure;60
