96766-1;117164;GISAID sequence accession-Nummer;P Doku nummer;63
12941-1;108510;Thyreotropin Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
14639-9;104833;Carbamazepin Serum Plasma;Apherese Plasma;60
14639-9;104834;Carbamazepin Serum Plasma;Apherese Plasma;60
14639-9;104846;Carbamazepin Serum Plasma;Apherese Plasma;60
479-6;107861;Talampicillin minimaler letaler Konzentration (MLK);O2 Konzentration;90
479-6;107864;Talampicillin minimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
479-6;107867;Talampicillin minimaler letaler Konzentration (MLK);Atom O2 Konzentration;76
14874-2;104833;Phenobarbital Serum Plasma;Apherese Plasma;63
14874-2;104834;Phenobarbital Serum Plasma;Apherese Plasma;63
14874-2;104846;Phenobarbital Serum Plasma;Apherese Plasma;63
25527-3;104833;Silber Serum Plasma;Apherese Plasma;65
25527-3;104834;Silber Serum Plasma;Apherese Plasma;65
25527-3;104846;Silber Serum Plasma;Apherese Plasma;65
53087-3;102721;Calcium.ionisiert pH ,4 -biologischer Flüssigkeit;Calcium;100
53087-3;102743;Calcium.ionisiert pH ,4 -biologischer Flüssigkeit;Calcium;100
53087-3;103054;Calcium.ionisiert pH ,4 -biologischer Flüssigkeit;Calcium;100
39480-9;102108;Glucose venösem Blut;Mess Blutfluss;61
32354-3;110925;Hämatokrit arteriellem Blut;P Temperatur Arteriell;62
354-1;107861;Neomycin minimaler letaler Konzentration (MLK);O2 Konzentration;90
354-1;107864;Neomycin minimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
354-1;107867;Neomycin minimaler letaler Konzentration (MLK);Atom O2 Konzentration;76
52914-9;103145;Bor Serum Plasma;Doku Plasmalösung;62
52914-9;104833;Bor Serum Plasma;Apherese Plasma;65
52914-9;104834;Bor Serum Plasma;Apherese Plasma;65
52914-9;104846;Bor Serum Plasma;Apherese Plasma;65
471-3;107861;Sulfisoxazol minimaler letaler Konzentration (MLK);O2 Konzentration;90
471-3;107864;Sulfisoxazol minimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
471-3;107867;Sulfisoxazol minimaler letaler Konzentration (MLK);Atom O2 Konzentration;76
10162-6;106521;Anamnese früherer Schwangerschaften - Freitext;Anamnese Nein;76
10162-6;106522;Anamnese früherer Schwangerschaften - Freitext;Anamnese Ja;84
10162-6;106526;Anamnese früherer Schwangerschaften - Freitext;Anamnese Schwangerschaft;72
10162-6;106527;Anamnese früherer Schwangerschaften - Freitext;Anamnese Schwangerschaft Nein;75
10162-6;106528;Anamnese früherer Schwangerschaften - Freitext;Anamnese Schwangerschaft Ja;71
10162-6;106649;Anamnese früherer Schwangerschaften - Freitext;Anamnese;100
10162-6;108161;Anamnese früherer Schwangerschaften - Freitext;Medikamente Schwangerschaft Text;61
50762-4;104833;A-IgM-Antikörper Serum Plasma;Apherese Plasma;60
50762-4;104834;A-IgM-Antikörper Serum Plasma;Apherese Plasma;60
50762-4;104846;A-IgM-Antikörper Serum Plasma;Apherese Plasma;60
39156-5;101473;Body Mass Index (BMI);BMI;100
50504-0;108157;Insulin Serum Plasma . Probenmaterial;Insulin ja;82
50504-0;108158;Insulin Serum Plasma . Probenmaterial;Insulin nein;74
12731-6;104833;Interferon alpha Serum Plasma;Apherese Plasma;68
12731-6;104834;Interferon alpha Serum Plasma;Apherese Plasma;68
12731-6;104846;Interferon alpha Serum Plasma;Apherese Plasma;68
10888-6;103915;Triacylglycerid-Lipase Urin;Triadyne liPause;60
5279-5;108675;Plasmodium Antikörper Serum;P Antikoerper Mutter;61
13454-4;102721;Calcium-Phosphat-Produkt Serum Plasma;Calcium;100
13454-4;102743;Calcium-Phosphat-Produkt Serum Plasma;Calcium;100
13454-4;103054;Calcium-Phosphat-Produkt Serum Plasma;Calcium;100
76487-8;103069;IgA Serum Plasma;ADM Plasmavolumen;61
76487-8;103085;IgA Serum Plasma;ADM Plasmavolumen;61
76487-8;104833;IgA Serum Plasma;Apherese Plasma;65
76487-8;104834;IgA Serum Plasma;Apherese Plasma;65
76487-8;104846;IgA Serum Plasma;Apherese Plasma;65
3084-1;104833;Harnsäure Serum Plasma;Apherese Plasma;67
3084-1;104834;Harnsäure Serum Plasma;Apherese Plasma;67
3084-1;104846;Harnsäure Serum Plasma;Apherese Plasma;67
3084-1;104852;Harnsäure Serum Plasma;Apherese Plasmaloesung;60
1884-6;104833;ApolipoproteinSerum Plasma;Apherese Plasma;63
1884-6;104834;ApolipoproteinSerum Plasma;Apherese Plasma;63
1884-6;104846;ApolipoproteinSerum Plasma;Apherese Plasma;63
8149-7;104833;Amphetamine Serum Plasma Screening;Apherese Plasma;61
8149-7;104834;Amphetamine Serum Plasma Screening;Apherese Plasma;61
8149-7;104846;Amphetamine Serum Plasma Screening;Apherese Plasma;61
47164-9;108510;Noradrenalin Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
2703-7;100808;Sauerstoff arteriellem Blut;Sauerstoff;100
2703-7;101481;Sauerstoff arteriellem Blut;Sauerstoff;100
2703-7;102942;Sauerstoff arteriellem Blut;G5 Sauerstoff;87
2703-7;104804;Sauerstoff arteriellem Blut;MS C2 Sauerstoff;77
2703-7;104808;Sauerstoff arteriellem Blut;C2 Sauerstoff;87
2703-7;105103;Sauerstoff arteriellem Blut;Sauerstoff RespirationBarValue;63
2703-7;106641;Sauerstoff arteriellem Blut;T1 Sauerstoff;87
2703-7;107811;Sauerstoff arteriellem Blut;Sauerstoff;100
2703-7;107980;Sauerstoff arteriellem Blut;P C3 Sauerstoff;80
2703-7;108012;Sauerstoff arteriellem Blut;P MS C3 Sauerstoff;71
2703-7;110866;Sauerstoff arteriellem Blut;Heimbeatmung Sauerstoff;64
30400-6;103688;Hypochromie Blut;Hypothermie Coolgard;61
30400-6;103692;Hypochromie Blut;Hypothermie;67
30400-6;103701;Hypochromie Blut;Hypothermie Doku;69
30400-6;103804;Hypochromie Blut;Hypothermie ArticSun;61
41652-9;102108;Glucose venösem Blut;Mess Blutfluss;61
29349-8;104913;Kalium Serum Plasma -- Dialyse;Dialyse Zeit;74
29349-8;110802;Kalium Serum Plasma -- Dialyse;P Dialyse Zeit;67
29349-8;110818;Kalium Serum Plasma -- Dialyse;P Dialyse Zeit;67
6896-5;104833;Clozapin Serum Plasma;Apherese Plasma;61
6896-5;104834;Clozapin Serum Plasma;Apherese Plasma;61
6896-5;104846;Clozapin Serum Plasma;Apherese Plasma;61
59284-0;101406;Einwilligung - Dokument;Dokumentation HFLoesung;64
59284-0;107793;Einwilligung - Dokument;Doku Einlaufmenge;63
25215-5;108100;Para-Aminosalicylat /mL Methode langsam wachsende Mykobakterien;Para;100
1886-1;104833;ApolipoproteinSerum Plasma;Apherese Plasma;63
1886-1;104834;ApolipoproteinSerum Plasma;Apherese Plasma;63
1886-1;104846;ApolipoproteinSerum Plasma;Apherese Plasma;63
25759-2;108157;Insulin- Wachstumsfaktor Serum Plasma . Probenmaterial Stimulation;Insulin ja;82
25759-2;108158;Insulin- Wachstumsfaktor Serum Plasma . Probenmaterial Stimulation;Insulin nein;74
25759-2;108510;Insulin- Wachstumsfaktor Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
2906-6;110925;Pyruvat arteriellem Blut;P Temperatur Arteriell;65
12458-6;108510;Corticotropin Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
32149-7;104968;Harnsäure/ Calculus (Stein);CRRT MS Calciumfluss;60
39787-7;102596;Natrium Peritonealdialysat;Natrium;100
39787-7;102638;Natrium Peritonealdialysat;Mess Natrium;74
39787-7;102660;Natrium Peritonealdialysat;NatriumProfil;62
39787-7;102676;Natrium Peritonealdialysat;Natrium;100
39787-7;102680;Natrium Peritonealdialysat;NatriumProfil;62
39787-7;103167;Natrium Peritonealdialysat;MS Natrium;82
39787-7;103226;Natrium Peritonealdialysat;Natrium;100
39787-7;103228;Natrium Peritonealdialysat;NatriumProfil;62
39787-7;103242;Natrium Peritonealdialysat;Natrium;100
25655-2;108510;Gastrin Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
3150-0;103126;Inhalierte Sauerstoffkonzentration;BiPAPV O2Konzentration;61
3150-0;103130;Inhalierte Sauerstoffkonzentration;MS BiPAPV O2Konzentration;61
3150-0;104151;Inhalierte Sauerstoffkonzentration;Airvo O2Konzentration;65
14836-1;104833;Methotrexat Serum Plasma;Apherese Plasma;62
14836-1;104834;Methotrexat Serum Plasma;Apherese Plasma;62
14836-1;104846;Methotrexat Serum Plasma;Apherese Plasma;62
16518-3;102721;Calcium -Stunden-Urin;Calcium;100
16518-3;102743;Calcium -Stunden-Urin;Calcium;100
16518-3;103054;Calcium -Stunden-Urin;Calcium;100
16518-3;105006;Calcium -Stunden-Urin;CRRT CalciumLoesung;62
12287-9;144;Medikamente identifiziert Magenflüssigkeit Screening;Medikamente gestellt;71
5583-0;104832;Arsen Blut;Apherese Blutfluss;64
5583-0;108243;Arsen Blut;Geburt an;63
38356-2;108675;Thyroxin (T4) Antikörper Serum;P Antikoerper Mutter;60
43579-2;107985;Komplement C3 Pleuraflüssigkeit;P C3;67
43579-2;107992;Komplement C3 Pleuraflüssigkeit;P C3;67
43579-2;108010;Komplement C3 Pleuraflüssigkeit;P C3;67
43579-2;110828;Komplement C3 Pleuraflüssigkeit;P C3;67
43579-2;110831;Komplement C3 Pleuraflüssigkeit;P C3;67
31590-3;108675;Ribosomaler Antikörper Serum;P Antikoerper Mutter;60
3367-0;104833;Atropin Serum Plasma;Apherese Plasma;63
3367-0;104834;Atropin Serum Plasma;Apherese Plasma;63
3367-0;104846;Atropin Serum Plasma;Apherese Plasma;63
19817-6;100008;Komplikationen;Vormedikation;67
19817-6;101433;Komplikationen;Compliance;67
19817-6;102152;Komplikationen;Makrozirkulation;60
19817-6;102153;Komplikationen;Mikrozirkulation;60
19817-6;104153;Komplikationen;Airvo Applikationsweg;63
19817-6;106597;Komplikationen;Vormedikation;67
19817-6;108169;Komplikationen;Geburt Komplikation ja;67
19817-6;108171;Komplikationen;Geburt Komplikation nein;74
19817-6;108278;Komplikationen;Geburt Komplikation Text;68
12514-6;102597;Bicarbonat Dialysat;Bicarbonat;100
12514-6;102639;Bicarbonat Dialysat;Mess Bicarbonat;80
12514-6;102677;Bicarbonat Dialysat;Bicarbonat;100
12514-6;102755;Bicarbonat Dialysat;Dialysat;100
12514-6;103043;Bicarbonat Dialysat;Dialysat;100
12514-6;103045;Bicarbonat Dialysat;BM25 Dialysat;76
12514-6;103123;Bicarbonat Dialysat;Dialysat;100
12514-6;103124;Bicarbonat Dialysat;BM25 Dialysat;76
12514-6;103160;Bicarbonat Dialysat;Bicarbonat;100
12514-6;103191;Bicarbonat Dialysat;Bicarbonat;100
12514-6;103227;Bicarbonat Dialysat;Bicarbonat;100
12514-6;103243;Bicarbonat Dialysat;Bicarbonat;100
12514-6;104881;Bicarbonat Dialysat;Bicarbonat;100
12514-6;104897;Bicarbonat Dialysat;Bicarbonat;100
12514-6;104922;Bicarbonat Dialysat;Bicarbonat;100
12514-6;104937;Bicarbonat Dialysat;Bicarbonat;100
12514-6;104978;Bicarbonat Dialysat;CRRT Dialysat;76
12514-6;104999;Bicarbonat Dialysat;CRRT Dialysat;76
12514-6;105009;Bicarbonat Dialysat;CRRT Dialysatloesung;62
12514-6;110786;Bicarbonat Dialysat;P Bicarbonat;91
12514-6;110806;Bicarbonat Dialysat;P Bicarbonat;91
12506-2;108510;Calcitonin Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
1705-3;104833;Acetoacetat Serum Plasma;Apherese Plasma;62
1705-3;104834;Acetoacetat Serum Plasma;Apherese Plasma;62
1705-3;104846;Acetoacetat Serum Plasma;Apherese Plasma;62
12493-3;104833;Hexobarbital Serum Plasma;Apherese Plasma;60
12493-3;104834;Hexobarbital Serum Plasma;Apherese Plasma;60
12493-3;104846;Hexobarbital Serum Plasma;Apherese Plasma;60
12908-0;102596;Natrium Glaskörperflüssigkeit;Natrium;100
12908-0;102638;Natrium Glaskörperflüssigkeit;Mess Natrium;74
12908-0;102676;Natrium Glaskörperflüssigkeit;Natrium;100
12908-0;103167;Natrium Glaskörperflüssigkeit;MS Natrium;82
12908-0;103226;Natrium Glaskörperflüssigkeit;Natrium;100
12908-0;103242;Natrium Glaskörperflüssigkeit;Natrium;100
5572-3;102755;Aluminium Dialysat;Dialysat;100
5572-3;103043;Aluminium Dialysat;Dialysat;100
5572-3;103045;Aluminium Dialysat;BM25 Dialysat;76
5572-3;103123;Aluminium Dialysat;Dialysat;100
5572-3;103124;Aluminium Dialysat;BM25 Dialysat;76
5572-3;103835;Aluminium Dialysat;ILA GasflussMin;61
5572-3;104978;Aluminium Dialysat;CRRT Dialysat;76
5572-3;104999;Aluminium Dialysat;CRRT Dialysat;76
5572-3;107787;Aluminium Dialysat;Doku Aussehen Dialysat;65
27834-1;108157;Insulin Serum Plasma ,5 StundenGlucose;Insulin ja;82
27834-1;108158;Insulin Serum Plasma ,5 StundenGlucose;Insulin nein;74
12464-4;108510;Corticotropin Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
29638-4;6;Gewicht Gewebe;Gewicht;100
29638-4;13;Gewicht Gewebe;Bezugsgewicht;67
29638-4;14;Gewicht Gewebe;Geburtsgewicht;71
29638-4;104258;Gewicht Gewebe;Servoi Gewicht;67
29638-4;110886;Gewicht Gewebe;P Gewicht WaageBezeichnung;67
29638-4;110904;Gewicht Gewebe;P Gewicht;88
9481-3;106358;pH Wasser;G5 passiver;60
9481-3;108000;pH Wasser;P C3 passiver;64
9481-3;108281;pH Wasser;Fruchtwasser;67
9481-3;108636;pH Wasser;P Power;62
9481-3;110871;pH Wasser;T1 passiver;60
14825-4;104833;Maprotilin Serum Plasma;Apherese Plasma;63
14825-4;104834;Maprotilin Serum Plasma;Apherese Plasma;63
14825-4;104846;Maprotilin Serum Plasma;Apherese Plasma;63
42857-3;102721;Calcium venösem Blut;Calcium;100
42857-3;102743;Calcium venösem Blut;Calcium;100
42857-3;103054;Calcium venösem Blut;Calcium;100
9470-6;108281;Kupfer Wasser;Fruchtwasser;64
1451-4;108157;Cortisol Serum Plasma -- Dosis Insulin intravenös;Insulin ja;82
1451-4;108158;Cortisol Serum Plasma -- Dosis Insulin intravenös;Insulin nein;74
12904-9;108510;Renin Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
17574-5;102107;Selen Körperflüssigkeit;PatFluessigkeitRate;60
407-7;107861;Piperacillin minimaler letaler Konzentration (MLK);O2 Konzentration;90
407-7;107864;Piperacillin minimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
407-7;107867;Piperacillin minimaler letaler Konzentration (MLK);Atom O2 Konzentration;76
30231-5;102107;Rheumafaktor Körperflüssigkeit;PatFluessigkeitRate;60
25589-3;104833;Citalopram Serum Plasma;Apherese Plasma;63
25589-3;104834;Citalopram Serum Plasma;Apherese Plasma;63
25589-3;104846;Citalopram Serum Plasma;Apherese Plasma;63
115-6;107861;Cefoxitin minimaler letaler Konzentration (MLK);O2 Konzentration;90
115-6;107864;Cefoxitin minimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
115-6;107867;Cefoxitin minimaler letaler Konzentration (MLK);Atom O2 Konzentration;76
30121-8;102672;Kolonienanzahl Dialysat;DialysekonzentratALT;65
30121-8;102690;Kolonienanzahl Dialysat;Dialysatloesung;63
30121-8;102695;Kolonienanzahl Dialysat;Dialysekonzentrat;60
30121-8;102755;Kolonienanzahl Dialysat;Dialysat;100
30121-8;102921;Kolonienanzahl Dialysat;Dialysekonzentrat;60
30121-8;103043;Kolonienanzahl Dialysat;Dialysat;100
30121-8;103045;Kolonienanzahl Dialysat;BM25 Dialysat;76
30121-8;103123;Kolonienanzahl Dialysat;Dialysat;100
30121-8;103124;Kolonienanzahl Dialysat;BM25 Dialysat;76
30121-8;103224;Kolonienanzahl Dialysat;Dialysekonzentrat;60
30121-8;103250;Kolonienanzahl Dialysat;Dialysekonzentrat;60
30121-8;104978;Kolonienanzahl Dialysat;CRRT Dialysat;76
30121-8;104999;Kolonienanzahl Dialysat;CRRT Dialysat;76
16295-8;108510;11-Desoxycortisol Serum Plasma -- Stimulation;Atmung Stimulation;76
12946-0;108510;Thyreotropin Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
2986-8;104833;Testosteron Serum Plasma;Apherese Plasma;62
2986-8;104834;Testosteron Serum Plasma;Apherese Plasma;62
2986-8;104846;Testosteron Serum Plasma;Apherese Plasma;62
35632-9;104833;Phenytoin Serum Plasma Screening;Apherese Plasma;60
35632-9;104834;Phenytoin Serum Plasma Screening;Apherese Plasma;60
35632-9;104846;Phenytoin Serum Plasma Screening;Apherese Plasma;60
15794-1;108157;Porcines Insulin IgE-Antikörper-RAST-Klasse Serum;Insulin ja;82
15794-1;108158;Porcines Insulin IgE-Antikörper-RAST-Klasse Serum;Insulin nein;74
45204-5;108510;Glucose Urin Teststreifen . Probenmaterial Stimulation;Atmung Stimulation;76
15114-2;104832;Arsen Blut;Apherese Blutfluss;64
15114-2;108243;Arsen Blut;Geburt an;63
176-8;107861;Chlortetracyclin minimaler letaler Konzentration (MLK);O2 Konzentration;90
176-8;107864;Chlortetracyclin minimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
176-8;107867;Chlortetracyclin minimaler letaler Konzentration (MLK);Atom O2 Konzentration;76
10574-2;108281;Fructose Sperma;Fruchtwasser;67
10574-2;108282;Fructose Sperma;Fruchtwasser klar;62
50508-1;108157;Insulin Serum Plasma . Probenmaterial;Insulin ja;82
50508-1;108158;Insulin Serum Plasma . Probenmaterial;Insulin nein;74
15401-3;144;Medikamente identifiziert Blut Screening;Medikamente gestellt;71
302-0;107861;Lomefloxacin minimaler letaler Konzentration (MLK);O2 Konzentration;90
302-0;107864;Lomefloxacin minimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
302-0;107867;Lomefloxacin minimaler letaler Konzentration (MLK);Atom O2 Konzentration;76
25359-1;103069;Cadmium Serum Plasma;ADM Plasmavolumen;65
25359-1;103070;Cadmium Serum Plasma;ADM PlasmaAustausch;62
25359-1;103085;Cadmium Serum Plasma;ADM Plasmavolumen;65
25359-1;103145;Cadmium Serum Plasma;Doku Plasmalösung;61
48341-2;108510;17-Hydroxyprogesteron Serum Plasma Stunde Stimulation;Atmung Stimulation;76
47759-6;108157;Somatotropin Serum Plasma Minuten Dosis Insulin intravenös;Insulin ja;82
47759-6;108158;Somatotropin Serum Plasma Minuten Dosis Insulin intravenös;Insulin nein;74
56760-2;102139;Leber-Nieren-Mikrosomen Antikörper Serum Immunoblot;Abdomen Nieren;60
10700-3;102128;Orthopoxvirus Haut Elektronenmikroskopie;Kopf Haut;62
10700-3;102142;Orthopoxvirus Haut Elektronenmikroskopie;Haut;100
27875-4;108157;Insulin Serum Plasma . Probenmaterial Stimulation;Insulin ja;82
27875-4;108158;Insulin Serum Plasma . Probenmaterial Stimulation;Insulin nein;74
27875-4;108510;Insulin Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
3846-3;104833;Naproxen Serum Plasma;Apherese Plasma;72
3846-3;104834;Naproxen Serum Plasma;Apherese Plasma;72
3846-3;104846;Naproxen Serum Plasma;Apherese Plasma;72
3846-3;104852;Naproxen Serum Plasma;Apherese Plasmaloesung;60
40267-7;108510;Creatinin Serum Plasma ,5 Stunden Stimulation;Atmung Stimulation;76
2713-6;100808;Sauerstoffsättigung berechnet aus Sauerstoff-Partialdruck Blut;Sauerstoff;100
2713-6;101481;Sauerstoffsättigung berechnet aus Sauerstoff-Partialdruck Blut;Sauerstoff;100
2713-6;102942;Sauerstoffsättigung berechnet aus Sauerstoff-Partialdruck Blut;G5 Sauerstoff;87
2713-6;104804;Sauerstoffsättigung berechnet aus Sauerstoff-Partialdruck Blut;MS C2 Sauerstoff;77
2713-6;104808;Sauerstoffsättigung berechnet aus Sauerstoff-Partialdruck Blut;C2 Sauerstoff;87
2713-6;106641;Sauerstoffsättigung berechnet aus Sauerstoff-Partialdruck Blut;T1 Sauerstoff;87
2713-6;107811;Sauerstoffsättigung berechnet aus Sauerstoff-Partialdruck Blut;Sauerstoff;100
2713-6;107980;Sauerstoffsättigung berechnet aus Sauerstoff-Partialdruck Blut;P C3 Sauerstoff;80
2713-6;108012;Sauerstoffsättigung berechnet aus Sauerstoff-Partialdruck Blut;P MS C3 Sauerstoff;71
2713-6;110866;Sauerstoffsättigung berechnet aus Sauerstoff-Partialdruck Blut;Heimbeatmung Sauerstoff;61
34397-0;104833;Amisulprid Serum Plasma;Apherese Plasma;63
34397-0;104834;Amisulprid Serum Plasma;Apherese Plasma;63
34397-0;104846;Amisulprid Serum Plasma;Apherese Plasma;63
224-6;107861;Doxycyclin minimaler letaler Konzentration (MLK);O2 Konzentration;90
224-6;107864;Doxycyclin minimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
224-6;107867;Doxycyclin minimaler letaler Konzentration (MLK);Atom O2 Konzentration;76
14698-5;103145;Digoxin Serum Plasma;Doku Plasmalösung;61
56496-3;108510;Prolaktin Serum Plasma Stunden Stimulation;Atmung Stimulation;76
56519-2;108510;11-Desoxycortisol Serum Plasma Minuten Stimulation;Atmung Stimulation;76
14905-4;102581;Retinol Serum Plasma;Plasmavolumen;61
14905-4;102585;Retinol Serum Plasma;Plasmarate;60
14905-4;103063;Retinol Serum Plasma;Plasmavolumen;61
14905-4;103065;Retinol Serum Plasma;Plasmavolumen;61
14905-4;104833;Retinol Serum Plasma;Apherese Plasma;63
14905-4;104834;Retinol Serum Plasma;Apherese Plasma;63
14905-4;104846;Retinol Serum Plasma;Apherese Plasma;63
14627-4;102597;Bicarbonat venösem Blut;Bicarbonat;100
14627-4;102639;Bicarbonat venösem Blut;Mess Bicarbonat;80
14627-4;102677;Bicarbonat venösem Blut;Bicarbonat;100
14627-4;103160;Bicarbonat venösem Blut;Bicarbonat;100
14627-4;103191;Bicarbonat venösem Blut;Bicarbonat;100
14627-4;103227;Bicarbonat venösem Blut;Bicarbonat;100
14627-4;103243;Bicarbonat venösem Blut;Bicarbonat;100
14627-4;104881;Bicarbonat venösem Blut;Bicarbonat;100
14627-4;104897;Bicarbonat venösem Blut;Bicarbonat;100
14627-4;104922;Bicarbonat venösem Blut;Bicarbonat;100
14627-4;104937;Bicarbonat venösem Blut;Bicarbonat;100
14627-4;110786;Bicarbonat venösem Blut;P Bicarbonat;91
14627-4;110806;Bicarbonat venösem Blut;P Bicarbonat;91
13423-9;108510;Adrenalin Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
11556-8;100802;Sauerstoff Blut;SauerstoffFlow;69
11556-8;100808;Sauerstoff Blut;Sauerstoff;100
11556-8;101439;Sauerstoff Blut;SauerstoffFlow;69
11556-8;101481;Sauerstoff Blut;Sauerstoff;100
11556-8;102074;Sauerstoff Blut;SauerstoffFlow;69
11556-8;102922;Sauerstoff Blut;SauerstoffVolG5;67
11556-8;102942;Sauerstoff Blut;G5 Sauerstoff;87
11556-8;103091;Sauerstoff Blut;CF800 SauerstoffFlow;63
11556-8;104804;Sauerstoff Blut;MS C2 Sauerstoff;80
11556-8;104808;Sauerstoff Blut;C2 Sauerstoff;87
11556-8;105103;Sauerstoff Blut;Sauerstoff RespirationBarValue;80
11556-8;106641;Sauerstoff Blut;T1 Sauerstoff;87
11556-8;107811;Sauerstoff Blut;Sauerstoff;100
11556-8;107980;Sauerstoff Blut;P C3 Sauerstoff;80
11556-8;108012;Sauerstoff Blut;P MS C3 Sauerstoff;80
11556-8;110866;Sauerstoff Blut;Heimbeatmung Sauerstoff;80
2071-9;102755;Chlorid Dialysat;Dialysat;100
2071-9;103043;Chlorid Dialysat;Dialysat;100
2071-9;103045;Chlorid Dialysat;BM25 Dialysat;76
2071-9;103123;Chlorid Dialysat;Dialysat;100
2071-9;103124;Chlorid Dialysat;BM25 Dialysat;76
2071-9;104978;Chlorid Dialysat;CRRT Dialysat;76
2071-9;104999;Chlorid Dialysat;CRRT Dialysat;76
2071-9;105009;Chlorid Dialysat;CRRT Dialysatloesung;61
2071-9;107787;Chlorid Dialysat;Doku Aussehen Dialysat;67
2071-9;107802;Chlorid Dialysat;Dialysat1;64
2071-9;107803;Chlorid Dialysat;Dialysat2;64
55-4;107861;Capreomycin minimaler letaler Konzentration (MLK);O2 Konzentration;90
55-4;107864;Capreomycin minimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
55-4;107867;Capreomycin minimaler letaler Konzentration (MLK);Atom O2 Konzentration;76
41644-6;102721;Calcium.ionisiert Kapillarblut;Calcium;100
41644-6;102743;Calcium.ionisiert Kapillarblut;Calcium;100
41644-6;103054;Calcium.ionisiert Kapillarblut;Calcium;100
2635-1;104833;Mianserin Serum Plasma;Apherese Plasma;65
2635-1;104834;Mianserin Serum Plasma;Apherese Plasma;65
2635-1;104846;Mianserin Serum Plasma;Apherese Plasma;65
81324-6;106526;Glucose-Toleranz Stunden Schwangerschaft ( ) - Serum Plasma;Anamnese Schwangerschaft;77
81324-6;106527;Glucose-Toleranz Stunden Schwangerschaft ( ) - Serum Plasma;Anamnese Schwangerschaft Nein;68
81324-6;106528;Glucose-Toleranz Stunden Schwangerschaft ( ) - Serum Plasma;Anamnese Schwangerschaft Ja;71
81324-6;108128;Glucose-Toleranz Stunden Schwangerschaft ( ) - Serum Plasma;P Schwangerschaft String;77
81324-6;108129;Glucose-Toleranz Stunden Schwangerschaft ( ) - Serum Plasma;Schwangerschaft;100
81324-6;108130;Glucose-Toleranz Stunden Schwangerschaft ( ) - Serum Plasma;Schwangerschaft ICSI;86
