"2810-0;PBG 24h Ur-mRate"
"56992-1;Trichinella IgG Ser Ql IF"
"48071-5;CH50 Titr SerPl"
"40492-1;Plasma Cells/leuk NFr Snv Manual"
"2245-9;Estradiol Tiss-sCnt"
"95673-0;DENV1+2+3+4 IgG Spec Ql IA"
"42627-0;HIV1 Ab CSF Ql IF"
"33817-8;Insulin sp3 p chal SerPl-aCnc"
"40613-2;Brucella Ab Ser Ql CF"
"716-1;Heinz Bod Bld Ql Smear"
"50689-9;T pallidum Ab CSF Ql HA"
"24373-3;Ferritin Bld-mCnc"
"25552-1;Uropor 24h Stl-sRate"
"20631-8;Activ T Lymphs NFr Bld"
"49450-0;VZV DNA # Tiss NAA+probe"
"41035-7;Norovirus RNA Spec Ql Probe"
"93762-3;FLUAV NP gene Islt-Seq"
"32667-8;B burgdor DNA Bld Ql NAA+probe"
"7020-1;Isoniazid Islt Grad strip"
"2536-1;LDH1 CFr SerPl Elph"
"24205-7;R typhi IgG sp1 Titr Ser IF"
"5065-8;B burgdor IgM Titr Ser IF"
"790-6;RBC # Bld Manual"
"6891-6;Testosterone.free+WB MFr SerPl"
"3141-9;Weight Measured"
"33863-2;Cystatin C SerPl-mCnc"
"24154-7;Goosefoot IgG Qn"
"27401-9;Hemoccult sp6 Stl Ql"
"13199-5;R conorii IgG Ser-aCnc"
"91895-3;Bacterial strain Islt Seq"
"56919-4;C burnet IgG sp2 Titr Ser IF"
"14899-9;quiNIDine SerPl-sCnc"
"97923-7;SFNV RNA Spec Ql NAA+probe"
"9389-8;Pseudoephedrine SerPl-mCnc"
"82185-0;N men DNA CSF Ql NAA+non-probe"
"13838-8;CD13 Blasts NFr Bld"
"22536-7;S mansoni Ab Ser Ql"
"29255-7;Linezolid Islt KB"
"49142-3;LACV IgG+IgM Ser-Imp"
"10987-6;Fluconazole SerPl-mCnc"
"8069-7;Epidis Ab Titr Ser"
"25800-4;Tobramycin Islt SlowMyco"
"33662-8;RBC CD59 deficient NFr"
"25988-7;Threonine 24h Ur-sCnc"
"7258-7;Cow Milk IgE Qn"
"30038-4;T gondii IgG CSF IA-aCnc"
"15820-4;Liver Beef IgE RAST Ql"
"1612-1;Prolactin 1h p Ins IV SerPl-mCnc"
"10753-2;Fat Stl Sudan IV Stn"
"7975-6;HPV Ab Genital Ql"
"719-5;Hgb CSF-mCnc"
"77955-3;YFV IgM Ser Ql IF"
"33904-4;N gonorrhoea rRNA Conjunct Ql Probe"
"43280-7;HDV Ag Ur-mCnc"
"35446-4;HIV1 gp41 Ab Sal Ql IB"
"2342-4;Glucose CSF-mCnc"
"42984-5;HPIV1 Ab sp2 Titr Ser"
"19550-3;Methadone Ur Ql Scn"
"15403-9;Isopropanol Mec Ql"
"21466-8;P malariae Ab Titr Ser IF"
"18882-1;Cefodizime Susc Islt"
"7718-0;Zucchini IgE Qn"
"738-5;Macrocytes Bld Ql Smear"
"24173-7;PV3 NAb sp1 Titr Ser Nt"
"5187-0;HBV core Ab Ser IA-aCnc"
"12960-1;A1AT Cl SerPl+Stl-aCnc"
"41865-7;Yeast Hyphae UrnS Ql Micro"
"22714-0;Isoleucine Spec-sCnc"
"44263-2;FLUAV RNA Spec NAA+probe-aCnc"
"27304-5;Lysine Ur-sCnc"
"7896-4;HTNV IgM Ser-aCnc"
"16102-6;Bovine Gelatin IgE Qn"
"29389-4;APAP Gast Ql"
"81690-0;L longbeachae 1 + 2 DNA Spec NAA+probe"
"22441-0;P falciparum Ab Titr Ser"
"14811-4;WBC # Pcar Manual"
"15180-3;Hypochromia Bld Ql Auto"
"55194-5;Ciprofloxacin 1 ug/mL Islt SlowMyco"
"14405-5;Phosphate Prt-mCnc"
"15893-1;Onion IgE RAST Ql"
"2140-2;ACTH Amn-mCnc"
"48990-6;Glucose 8 PM SerPl-mCnc"
"55620-9;Bacampicillin Islt Grad strip"
"26062-0;TBEV IgG Ser-aCnc"
"45122-9;COCV Ag Spec Ql IA"
"6746-2;Prolymphocytes/leuk NFr Bld Manual"
"94758-0;SARS-rel CoV E gene Resp Ql NAA+probe"
"21479-1;Potato IgG RAST Ql"
"17455-7;PI IgG Ser Ql"
"47211-8;C trach L2 DNA Spec Ql NAA+probe"
"7851-9;CMV Ab SerPl-aCnc"
"27038-9;Endomysium IgA Titr Ser IF"
"70866-9;RABV strain Spec IF"
"9566-1;MeV IgG CSF IA-aCnc"
"5343-9;S paraty C H Ab Ser Ql LA"
"20472-7;Eosinophil Spec Ql Wright Stn"
"6573-0;VEEV Ag Ser Ql IF"
"24247-9;PV3 Ab sp1 Titr Ser"
"40655-3;ANA Titr Ser IA"
"18996-9;Tobramycin Susc Islt"
"17172-8;CD52 Cells NFr Bld"
"12234-1;Mesothl Cell/leuk NFr Fld Manual"
"55667-0;cycloSERINE Islt Grad strip"
"253-5;5-fluorocytosine Islt MIC"
"25145-4;Bacteria UrnS Ql Micro"
"16615-7;Cholest/LDLc SerPl"
"24144-8;Brome IgG Qn"
"24148-9;Kent blue grass IgG Qn"
"25412-8;Flunitrazepam SerPl-sCnc"
"5676-2;Lead Ur-mCnc"
"18914-2;cycloSERINE Susc Islt"
"43212-0;Albumin Fld Elph-mCnc"
"6057-4;Chamomile IgE Qn"
"5634-1;Cyanide Bld-mCnc"
"38404-0;CFTR Mut Anl Bld/T"
"34701-3;PF4 heparin cmplx Ab Ser Ql"
"56281-9;Halibut IgG4-mCnc"
"54170-6;Imipenem+EDTA Susc Islt"
"28598-1;AAA/Creat Ur-Rto"
"19224-5;SaO2 % BldMV"
"4-2;Almecillin Islt KB"
"3847-1;Neopterin Ur-mCnc"
"57675-1;L pneumo IgG sp1 Ser Ql IF"
"25946-5;LH sp4 p chal SerPl IRP1-aCnc"
"41459-9;SARS-CoV Spec Ql"
"30992-2;A fumigatus (rAsp f) 4 IgE Qn"
"48166-3;B2 Microglob Fld-mCnc"
"13881-8;DPD Free/Creat Ur-sRto"
"15111-8;Tricyclics SerPl-sCnc"
"7046-6;Roxithromycin Islt Grad strip"
"15832-9;Mango IgE RAST Ql"
"48414-7;A1 Microglob 24h Ur-mRate"
"92977-8;FLUAV RNA Lower resp Ql NAA+non-probe"
"17873-1;Bacteria Bone Aerobe Cult org #2"
"15274-4;Weed Allerg Mix5 IgE Ql"
"14502-9;HPV Ag Urth Ql"
"82205-6;Cryptosp DNA Stl Ql NAA+non-probe"
"7092-0;Apricot IgG Qn"
"24222-2;HPIV3 Ab sp1 Titr Ser CF"
"96120-1;SARS-CoV-2 RdRp Lower resp Ql NAA+probe"
"290-7;Kanamycin Islt MLC"
"88577-2;L pneumo DNA Tiss Ql NAA+probe"
"35860-6;Virginiamycin Islt MIC"
"14956-7;Microalbumin 24h Ur-mRate"
"217-0;Demeclocycline Islt MIC"
"6015-2;Wattle IgE Qn"
"57434-3;LKM-1 Ab Titr Ser IF"
"23403-9;RVFV Ag Spec Ql IF"
"99010-1;L borgp Javanica Ab Titr Ser Aggl"
"24126-5;Adenovirus Typ Spec Nt"
"6911-2;B abortus IgG Ser-aCnc"
"97918-7;RVFV RNA Spec Ql NAA+probe"
"25352-6;B pert IgG Titr Ser IF"
"22920-3;B abortus Ab Ser Ql IF"
"8047-3;VZV IgG Ser-aCnc"
"49181-1;E granulosus Ab Titr Ser"
"85748-2;S pneum Da 7A+7F DNA Ct Spec Qn NAA+prb"
"11278-9;Bladder Cells #/area UrnS HPF"
"30129-1;Brucella Ab sp1 Ser Ql"
"6443-6;Lactoferrin Stl Ql LA"
"45049-4;Cortis 4 PM SerPl-sCnc"
"73629-8;Tizoxanide Islt KB"
"55720-7;Tinidazole Islt MIC"
"6080-6;Cocoa IgE Qn"
"21402-3;MuV IgM Titr CSF IF"
"593-4;Legionella Spec Cult"
"32217-2;vWF multimers PPP Ql"
"85425-7;Lefamulin Islt MIC"
"50344-1;B19V DNA Fld Ql NAA+probe"
"21112-8;Birth date"
"9616-4;17OHP 24h Ur-mRate"
"103-2;Ceforanide Islt MLC"
"59261-8;HbA1c SFr Bld IFCC"
"7965-7;MuV Ab Ser-aCnc"
"49361-9;HBV DNA Tiss NAA+probe-Log#"
"53964-3;WBC Ur Ql Visual"
"49817-0;2Oxoisocaproate/Creat 24h Ur-sRto"
"10905-8;LACV IgM Titr Ser IF"
"35765-7;Cefetamet Islt MIC"
"94576-6;MTB complex sp Islt NAA+probe"
"32701-5;Microsporid Stl Mod Tri Stain"
"7015-1;Fusidate Islt Grad strip"
"94503-0;SARS-CoV-2 Ab Pnl SerPlBld IA.rapid"
"10898-5;EEEV IgM Titr Ser IF"
"16008-5;Sardine (pilchard) IgE RAST Ql"
"1877-0;Apo C-III SerPl-mCnc"
"10995-9;Neomycin SerPl-mCnc"
"44564-3;FLUAV Ag Nose Ql IA"
"30144-0;Legionella Ab sp2 Ser Ql"
"10927-2;Elk Meat IgE Qn"
"47514-5;T pallidum IgM CSF-aCnc"
"39996-4;Creat 1D p chal Ur-mCnc"
"22191-1;C trach IgG Titr Ser"
"15249-6;Food Allerg Mix19 IgE Ql"
"19743-4;Horse Meat IgE Qn"
"5111-0;CV B5 NAb Titr Ser Nt"
"5691-1;Methanol ExG Ql"
"14117-6;IgG/Alb clear Ser+CSF-Rto"
"12831-4;Prolactin sp10 p chal SerPl-mCnc"
"1629-5;GH 1h p Ins IV SerPl-mCnc"
"51573-4;Silver Birch (rBet v) 1 IgE RAST Ql"
"22244-8;CMV IgG SerPl Ql"
"49121-7;RBC inclusions Bld"
"22712-4;cAMP Ur-sCnc"
"17384-9;Opiates Ur Cfm-mCnc"
"5238-1;Leishmania Ab Ser-aCnc"
"11-7;Amikacin Islt MLC"
"90362-5;C trach L1 IgG Titr Ser IA"
"43404-3;C trach DNA Spec Ql Probe+sig amp"
"26833-4;Hippurate Ur Ql"
"31921-0;N men sg Y Ag Spec Ql"
"47134-2;Trimipramine Ur-sCnc"
"48741-3;B pert Nph Ql Cult"
"14885-8;Pregnanediol 24h Ur-sRate"
"54906-3;Norovirus GII RNA Stl Ql NAA+probe"
"11120-3;Promyelocytes NFr Mar Manual"
"75540-5;HAV RNA+B19V DNA Plas Donr NAA+probe-Imp"
"23524-2;T evansi Ab Ser IA-aCnc"
"43939-8;ALP Liver SerPl Ql"
"25526-5;Silicon SerPl-sCnc"
"43236-9;S pneum IgG Ser IA-mCnc"
"6381-8;CMV Ag Spec Ql IF"
"59032-3;Lactate Bld-mCnc"
"32785-8;Non-gyn cytology Spec"
"88927-9;Cryptosp DNA Tiss Ql NAA+probe"
"5580-6;Antimony SerPl-mCnc"
"56481-5;Lambda LC Free Ur Ql IFE"
"76078-5;FLUAV RNA Nph Ql NAA+probe"
"51190-7;Albumin 24h Ur Elph-mCnc"
"25637-0;Econazole Islt MIC"
"24110-9;T pallidum Ab Ser Ql IA"
"33019-1;Pseudocasts #/area UrnS LPF"
"53297-8;Unspecified cry # Ur Comp Assist"
"22654-8;Citrulline CSF-sCnc"
"44818-3;B abortus IgG Ser IF-aCnc"
"5135-9;Echinococcus Ab Ser HA-aCnc"
"16416-0;A terreus Ab Qn"
"15678-6;Date Palm Poln IgE RAST Ql"
"21447-8;Peanut IgG RAST Ql"
"30290-1;Delavirdine Islt Genotyp"
"7268-6;Cucumber IgG Qn"
"1524-8;Glucose 30M p 0.1 U/kg Ins SerPl-mCnc"
"30326-3;CMV DNA CSF Ql NAA+probe"
"49755-2;Crystals UrnS Ql Micro"
"2815-9;Porphyrins SerPl-mCnc"
"85-1;Cefaclor Islt KB"
"5190-4;HBV e Ab Ser RIA-aCnc"
"25872-3;C peptide 24h Ur-sCnc"
"7633-1;Privet IgG Qn"
"1399-5;Cortis 1h p U/kg Ins IV SerPl-mCnc"
"101003-2;MVPX clade Spec Seq"
"26848-2;Il10 SerPl-mCnc"
"86737-4;T gondii Ag Tiss Ql ImStn"
"14032-7;Ciprofloxacin Trough SerPl-mCnc"
"91830-0;MERS-CoV RNA Lower resp Ql NAA+probe"
"90361-7;C trach L1 IgA Titr Ser IA"
"81428-5;FLUAV H7 Euras RNA Resp Ql NAA+probe"
"63072-3;MTB inhA INH low res mut Islt/Spm Ql"
"17839-2;A-Fucosidase Bld-cCnc"
"15915-2;Chick Pea IgE RAST Ql"
"88584-8;C diphtheriae Upper resp Ql Cult"
"25219-7;Isoniazid 1 ug/mL Islt SlowMyco"
"34999-3;Polys/leuk NFr Bld"
"18900-1;Cephalothin Susc Islt"
"24446-7;PBG Ur-mCnc"
"22955-9;B suis DNA Spec Ql NAA+probe"
"49293-4;Oligoclonal Bands CSF Elph-Imp"
"20752-2;C psittaci Spec Ql Cult"
"85771-4;Enterobact DNA Bld Pos Ql NAA+non-probe"
"34709-6;C trach Ag Nph Ql"
"31567-1;PV2 Ab Fld-aCnc"
"14107-7;Neuts Seg/leuk NFr CSF Manual"
"40524-1;Macrophages/leuk NFr Pcar Manual"
"44519-7;HHV6 Ab Ser Ql"
"16978-9;HIV1 p24 Ab Ser-aCnc"
"25303-9;A1AT Stl-mCnt"
"21055-9;HAdV DNA SerPl Ql NAA+probe"
"38418-0;Pigeon Drop IgG Ql"
"312-9;Lymecycline Islt KB"
"80363-5;C trach DNA Anorectl Ql NAA+probe"
"25389-8;T sol lar IgG Ser IA-aCnc"
"17221-3;CD235a Cells NFr Bld"
"25305-4;A-Aminobutyr 24h Ur-sRate"
"15902-0;Paprika IgE RAST Ql"
"32294-1;Albumin/Creat Ur-Rto"
"50377-1;vWF CBA Act/Nor PPP IA"
"27190-8;Propoxyph Vitf-mCnc"
"94764-8;SARS-CoV-2 genome Islt/Spm-Seq"
"14487-3;Mycoplas+Ureoplas Urth Cult"
"73752-8;Reagin+T pallidum IgG+IgM SerPl-Imp"
"7628-1;Sweet potato IgG Qn"
"29407-4;Nortrip Gast-mCnc"
"25155-3;Cystine Cry #/area UrnS HPF"
"35002-5;Polys # Fld"
"25180-1;Ciprofloxacin 2 ug/mL Islt SlowMyco"
"31834-5;Haem influ B Ag Spec Ql"
"46429-7;A1AT 24h Stl-mCnt"
"45040-3;F tular Ab Ser Ql Microaggl"
"20994-0;HCG SerPl-Imp"
"73608-2;Tedizolid Islt MIC"
"25429-2;Glutamate 24h Ur-sRate"
"15083-9;Normetanephrine 24h Ur-sRate"
"50237-7;Trichomonas Ur Ql Comp Assist"
"10728-4;Trichomonas Genital Cult"
"44717-7;LDL/HDL SerPl"
"20658-1;Threonine SerPl-sCnc"
"9513-3;CMV Ab Titr Ser CF"
"23782-6;SIV Ag Tiss Ql ImStn"
"18902-7;Cephradine Susc Islt"
"21433-8;Orange Tree IgE RAST Ql"
"55165-5;Echinococcus IgG4 Ser Ql"
"48685-2;PAS 10 ug/mL Islt SlowMyco"
"6437-8;FLUAV+FLUBV Ag Spec Ql IA"
"14929-4;T3Reverse SerPl-sCnc"
"47304-1;B burgdor IgG Index Ser+CSF-aCnc"
"97917-9;Oropouche virus RNA Spec Ql NAA+probe"
"94316-7;SARS-CoV-2 N gene Spec Ql NAA+probe"
"6420-4;H pylori IgA Ser IA-aCnc"
"48938-5;Alpraz Spec-mCnc"
"6133-3;Green Nimitti IgE Qn"
"85422-4;ceFAZolin Islt.UTI MIC"
"94062-7;Bacterial rrs drug res mut Islt/Spm"
"56131-6;CHIKV IgM SerPl Ql IF"
"53381-0;FLUAV Ab Ser"
"455-6;Spiramycin Islt MLC"
"35872-1;Penicillin+Novobiocin Islt KB"
"35400-1;VZV DNA Tiss Ql NAA+probe"
"53607-8;Haem influ B DNA Bld Ql NAA+probe"
"83093-5;Digoxin SerPl IA-mCnc"
"55472-5;Cortis 2.5h p chal SerPl-sCnc"
"12251-5;RUBV Ag Spec Ql IF"
"31181-1;T gondii IgM CSF Ql"
"6236-4;Cultivated Rye IgE Qn"
"21334-8;HIV2 gp105 Ab Ser Ql IB"
"51629-4;Macroblasts NFr Mar Manual"
"49131-6;Chylo MFr SerPl"
"40715-5;Imm Granulocytes Bld Ql"
"57416-0;TSH Recep Ab Ser IA-aCnc"
"30441-0;Abn Monocytes/leuk NFr Bld"
"3389-4;Benzodiaz SerPl Ql"
"58450-8;Bilirub Ur Ql Cfm"
"50551-1;Bilirub Ur Ql Strip.auto"
"21404-9;Mustard IgG RAST Ql"
"14450-1;Trigl Ur-mCnc"
"92693-1;RVA RNA Stl Ql NAA+probe"
"26630-4;C diphtheriae Tox Ab Ser Ql"
"73627-2;Ceftaroline Islt MIC"
"2447-1;OH-Proline 24h Ur-mRate"
"2258-2;Estrone SerPl-mCnc"
"39791-9;Sodium BldV-sCnc"
"38477-6;Glucosylceramidase SerPl-cCnc"
"35734-3;H capsul Ag Ur Ql"
"39805-7;Rabbit Hair IgE Qn"
"25725-3;Ovary Ab Titr Ser IF"
"10361-4;ssDNA IgM Ser-aCnc"
"73646-2;Danofloxacin Islt KB"
"74035-7;Abn Prion Prot Tiss ImStn"
"51658-3;HBV core IgM Fld Ql"
"15586-1;Brazil Nut IgE RAST Ql"
"22110-1;B henselae IgG Titr Ser"
"45097-3;Chlamydia Anal Cult"
"42638-7;PT PPP 1:1 saline"
"228-7;Enoxacin Islt MLC"
"44518-9;HSV DNA SerPl Ql NAA+probe"
"8059-8;Adrenal Ab Ser-aCnc"
"6033-5;Avocado IgE Qn"
"18947-2;Mezlocillin Susc Islt"
"6127-5;Goat Epith IgE Qn"
"3704-4;Labetalol SerPl-mCnc"
"2743-3;pH Amn"
"34179-2;HHV6 IgG Titr Ser IA"
"32374-1;Cefotiam Susc Islt"
"98224-9;T pallidum IgM bands CSF IB"
"34220-4;17OHP 24h Ur-sCnc"
"33966-3;SARS-CoV Urb RNA Nose Ql NAA+probe"
"25954-9;Magnesium 24h Ur-sCnc"
"2491-9;Inulin Cl 24h Ur+SerPl-vRate"
"9576-0;RUBV Ab CSF IA-aCnc"
"6171-3;Cajeput tree IgE Qn"
"25997-8;Urate 24h Ur-sCnc"
"31552-3;HPIV3 Ab Fld-aCnc"
"19189-0;Cancer Ag549 SerPl-aCnc"
"26486-1;Monocytes/leuk NFr CSF"
"18277-4;Hgb F Gast Ql Apt-Downey"
"87947-8;Borrelia DNA Tiss NAA+probe"
"6572-2;VEEV Ag Ser Ql IA"
"8179-4;Cannabinoids Usub Ql Scn"
"3094-0;BUN SerPl-mCnc"
"20446-1;HSV IgG Ser IA-Imp"
"21001-3;Fact VIII Spec-Imp"
"10552-8;Tricyclics SerPl-mCnc"
"48159-8;HCV Ab s/co SerPl IA"
"21655-6;CFTR p.F508del Bld/T Ql"
"56635-6;Thyroglob IgG Ser-aCnc"
"85052-9;Ceftobiprole Islt Grad strip"
"26421-8;D pteronyss IgG4 Qn"
"33340-1;Zolpidem Ur-sCnc"
"48170-5;Capreomycin 3 ug/mL Islt SlowMyco"
"14278-6;p-ANCA Titr Ser IF"
"62435-3;SLEV IgG Fld Ql IA"
"35439-9;HIV1 Ab Sal Ql IB"
"51217-8;CD10 Cells NFr Fld"
"49359-3;HBV DNA Mar NAA+probe-Log#"
"49068-0;SLEV IgG+IgM CSF-Imp"
"98080-5;SARS-CoV-2+SARSr-CoV RNA pnl Sal NAA+prb"
"50431-6;Cortis 6 PM SerPl-mCnc"
"3034-6;Transferrin SerPl-mCnc"
"26720-3;Codeine Hair-mCnt"
"14592-0;Aluminum 24h Ur-sCnc"
"1768-1;Aldost upr SerPl-mCnc"
"38484-2;Cysteine 24h Ur-mRate"
"10646-8;HAstV Stl EM"
"13772-9;Methionine/Creat Ur"
"93402-6;C sakazakii DNA Bld Pos Ql NAA+probe"
"27201-3;Zinc/Creat 24h Ur"
"44281-4;17KS/Creat 24h Ur"
"82304-7;P shigelloides Stl Ql Cult"
"25700-6;Interpretation SerPl IFE-Imp"
"27251-8;PPA Vitf-mCnc"
"41601-6;Bacteria Prt Ql Micro"
"15237-1;Occup Allerg Mix3 IgE Ql"
"13822-2;Valine/Creat Ur"
"53387-7;T spiralis IgG Titr Ser"
"57852-6;Problem list Reported"
"40735-3;HTLV I+II IgG Ser Ql IB"
"17738-6;Chloral Hydrate Ur Ql"
"18396-2;HIV1 p24 Ag SerPl Ql IA"
"7822-0;C psittaci Ab Ser-aCnc"
"18940-7;Loracarbef Susc Islt"
"7760-2;Pellitory IgE Qn"
"24375-8;Platelet Ab Ser Ql"
"3889-3;Oxprenolol SerPl-mCnc"
"27132-0;Acetoacet Ur Ql"
"18905-0;Cinoxacin Susc Islt"
"13888-3;LDH3 CFr Ur Elph"
"52989-1;Leptospira DNA Bld Ql NAA+probe"
"116-4;cefOXitin Islt MIC"
"31726-3;B anthracis Ag Spec Ql"
"15852-7;Mink Epith IgE RAST Ql"
"56700-8;Naproxen IgE Qn"
"33549-7;SNV Ab Ser Ql"
"5856-0;HSV Genital Cult"
"47989-9;Progest sp7 p chal SerPl-sCnc"
"40538-1;Lymphocytes/leuk NFr DiafP Manual"
"73671-0;L pneumophila group Islt Aggl"
"15663-8;Crab IgE RAST Ql"
"47067-4;R typhi IgM Titr CSF IF"
"32708-0;c-ANCA Titr Ser"
"45226-8;Ribosomal P IgG Ser Ql"
"93733-4;Creat 5h Ur-mRate"
"32338-6;Pyruvate SerPl-sCnc"
"38387-7;C3 NeF SerPl Ql"
"51578-3;C trach DNA Smn Ql NAA+probe"
"21212-6;Coconut IgG RAST Ql"
"39528-5;HAdV DNA Spec Ql NAA+probe"
"6310-7;Arbovirus Spec Cult"
"53501-3;Iron Wat-sCnc"
"50433-2;Cortis 3 AM SerPl-mCnc"
"100383-9;MVPX DNA Spec Ql NAA+probe"
"94100-5;H seoul IgM SerPl Ql Line blot"
"53227-5;WBC #/area Cvx Wet Prep"
"32635-5;Fact II Inhib PPP-aCnc"
"45099-9;Chlamydia Fld Cult"
"56436-9;Zucchini IgG4-mCnc"
"45382-9;Epidis Ab Ser Ql"
"4459-4;Vancomycin Dose"
"73586-0;Tedizolid Susc Islt"
"11555-0;Base excess Bld Calc-sCnc"
"17209-8;CD94 Cells NFr Bld"
