9271-8	10M Apgar Score
27162-7	1Me-hist Amn-sCnc
28606-2	1Me-hist/Creat Ur-Rto
26574-4	1Me-hist/Creat Ur-sRto
26584-3	1Me-hist CSF-sCnc
50065-2	1Me-hist DBS-sCnc
50066-0	1Me-hist Fld-sCnc
1652-7	1Me-hist SerPl-mCnc
20633-4	1Me-hist SerPl-sCnc
27044-7	1Me-hist Ur-sCnc
17781-6	21Hydroxylase Ab Ser-aCnc
1675-8	2,3DPG RBC-mCnc
15007-8	2,3DPG RBC-sCnc
49217-3	2,3DPG RBC-sCnt
1676-6	2,3DPG Ser-mCnc
55814-8	25(OH)D3 BldCo-sCnc
1989-3	25(OH)D3 SerPl-mCnc
14635-7	25(OH)D3 SerPl-sCnc
25082-9	2Me3OH-butyrate/Creat Ur-sRto
30577-1	2Me3OH-butyrate Ur Ql
24435-0	2Me-butyrylglycine/Creat Ur-sRto
34626-2	2Me-citrate Amn-sCnc
25114-0	2Me-citrate/Creat Ur-sRto
50092-6	2Me-citrate CSF-sCnc
26904-3	2Me-citrate SerPl-sCnc
26811-0	2Me-citrate Ur-sCnc
64118-3	2nd most predominant Hb DBS
49810-5	2OH3Me-valerate/Creat 24h Ur-sRto
29505-5	2OH3Me-valerate/Creat Ur-sRto
29880-2	2OH3Me-valerate Ur Ql
29500-6	2OH-adipate/Creat Ur-sRto
29502-2	2OH-gluterate/Creat Ur-sRto
29501-4	2OH-isobutyrate/Creat Ur-sRto
29503-0	2OH-isocaproate/Creat Ur-sRto
43226-0	2OH-isocaproate Ur Ql
29504-8	2OH-isovalerate/Creat Ur-sRto
47534-3	2OH-phenylacetate/Creat Ur-sRto
29883-6	2OH-phenylacetate Ur Ql
29506-3	2-Oxoadipate/Creat Ur-sRto
49817-0	2Oxoisocaproate/Creat 24h Ur-sRto
25084-5	2Oxoisocaproate/Creat Ur-sRto
34224-6	3A-diol G 24h Ur-sCnc
34226-1	3A-diol G/Creat Ur-sRto
15008-6	3A-diol G Ser-sCnc
34225-3	3A-diol G Ur-sCnc
21043-5	3Me4OH-phenylglycol 24h Ur-mCnc
9695-8	3Me4OH-phenylglycol 24h Ur-mRate
50135-3	3Me4OH-phenylglycol SerPl-sCnc
43634-5	3Me4OH-phenylglycol Ur Ql
40927-6	3Me-crotonylglycine Bld-sCnc
24436-8	3Me-crotonylglycine/Creat Ur-sRto
25087-8	3Me-glutaconate/Creat Ur-sRto
29518-8	3Me-glutarate/Creat Ur-sRto
17860-8	3Me-histidine 24h Ur-mCnc
25319-5	3Me-histidine 24h Ur-sRate
27176-7	3Me-histidine Amn-sCnc
44286-3	3Me-histidine/Creat 24h Ur
13694-5	3Me-histidine/Creat Ur
28594-0	3Me-histidine/Creat Ur-Rto
26575-1	3Me-histidine/Creat Ur-sRto
26585-0	3Me-histidine CSF-sCnc
47539-2	3Me-histidine DBS-sCnc
47540-0	3Me-histidine Fld-sCnc
20635-9	3Me-histidine SerPl-sCnc
1687-3	3Me-histidine Ur-mCnc
27046-2	3Me-histidine Ur-sCnc
48380-0	3Me-tyramine 24h Ur-sCnc
40409-5	3Me-tyramine 24h Ur-sRate
54343-9	3Me-tyramine/Creat 24h Ur
29508-9	3OH-Adipate/Creat Ur-sRto
29621-0	3OH-Adipate Ur Ql
29510-5	3OH-Glutarate/Creat Ur-sRto
29624-4	3OH-Glutarate Ur Ql
29511-3	3OH-Isobutyrate/Creat Ur-sRto
49823-8	3OH-Isovalerate/Creat 24h Ur-sRto
29514-7	3OH-Isovalerate/Creat Ur-sRto
50129-6	3OH-Propionate Amn-sCnc
29515-4	3OH-Propionate/Creat Ur-sRto
64119-1	3rd most predominant Hb DBS
28585-8	4OH-phenylacetate/Creat Ur-Rto
25088-6	4OH-phenylacetate/Creat Ur-sRto
27270-8	4OH-phenylacetate Ur Ql
28586-6	4OH-phenyllactate/Creat Ur-Rto
25089-4	4OH-phenyllactate/Creat Ur-sRto
29519-6	4OH-phenylpyruvate/Creat Ur-sRto
64120-9	4th most predominant Hb DBS
4102-0	5-fluorocytosine Dose
7014-4	5-fluorocytosine Islt Grad strip
254-3	5-fluorocytosine Islt KB
253-5	5-fluorocytosine Islt MIC
25142-1	5-fluorocytosine Peak SerPl-mCnc
3639-2	5-fluorocytosine SerPl-mCnc
23805-5	5-fluorocytosine Spec-mCnc
18855-7	5-fluorocytosine Susc Islt
25143-9	5-fluorocytosine Trough SerPl-mCnc
9274-2	5M Apgar Score
1689-9	5NT Amn-cCnc
1690-7	5NT SerPl-cCnc
29521-2	5OH-Hexanoate/Creat Ur-sRto
1695-6	5OH-indoleacetate 24h Ur-mRate
25971-3	5OH-indoleacetate 24h Ur-sCnc
14573-0	5OH-indoleacetate 24h Ur-sRate
29520-4	5OH-indoleacetate/Creat Ur-sRto
1692-3	5OH-indoleacetate CSF-mCnc
47544-2	5OH-indoleacetate CSF-sCnc
1693-1	5OH-indoleacetate SerPl-mCnc
1694-9	5OH-indoleacetate Ur-mCnc
48168-9	5OH-indoleacetate Ur Ql
15009-4	5OH-indoleacetate Ur-sCnc
64121-7	5th most predominant Hb DBS
57300-6	6MAM Sal-mCnc
12788-6	6MAM SerPl-mCnc
14844-5	6MAM SerPl Ql
43184-1	6MAM SerPl Ql Cfm
18343-4	6MAM SerPl Ql Scn
10975-1	6MAM Ur-mCnc
10976-9	6MAM Ur Ql
19322-7	6MAM Ur Ql Cfm
19321-9	6MAM Ur Ql Scn
1697-2	6PGD RBC-cCnc
48998-9	6PGD RBC-cCnt
32660-3	6-TGN EntSub RBC
28059-4	7Aminoclonazepam SerPl-mCnc
28073-5	7Aminoclonazepam Ur-mCnc
58365-8	7Aminoclonazepam Ur Ql Cfm
21046-8	7Aminoflunitrazepam SerPl-mCnc
51777-1	7Aminoflunitrazepam Ur Cfm-mCnc
27084-3	7Aminoflunitrazepam Ur-mCnc
40597-7	7-DHC Amn Ql
46700-1	7-DHC Amn-sCnc
33275-9	7-DHC SerPl-mCnc
32289-1	7-DHC SerPl-sCnc
9383-1	9OH-risperidone SerPl-mCnc
39455-1	9OH-risperidone SerPl-sCnc
48416-2	A1acid Glycoprotein Fld-mCnc
2685-6	A1acid Glycoprotein SerPl-mCnc
33781-6	A1acid Glycoprotein SerPl-sCnc
46429-7	A1AT 24h Stl-mCnt
46430-5	A1AT 48h Stl-mCnt
46431-3	A1AT 72h Stl-mCnt
12466-9	A1AT Amn Neph-mCnc
18271-7	A1AT Cl 24h SerPl+Stl-vRate
12960-1	A1AT Cl SerPl+Stl-aCnc
29146-8	A1AT Fld-mCnc
1827-5	A1AT MS SerPl-mCnc
1828-3	A1AT MZ SerPl-mCnc
6770-2	A1AT Phenotyp SerPl IFE
32769-2	A1AT Phenotyp SerPl-Imp
1825-9	A1AT SerPl-mCnc
6771-0	A1AT SerPl Neph-mCnc
9407-8	A1AT Stl-mCnc
25303-9	A1AT Stl-mCnt
40602-5	A1AT Ur Ql IEP
48414-7	A1 Microglob 24h Ur-mRate
48415-4	A1 Microglob/Creat Ur
48413-9	A1 Microglob SerPl-mCnc
46723-3	A1 Microglob Ur-mCnc
77163-4	A1 Microglob Ur-sCnc
33645-3	A2 Ab Titr SerPl
50748-3	A2 Macroglob/Creat Ur
50176-7	A2 Macroglob MFr SerPl
1835-8	A2 Macroglob SerPl-mCnc
25304-7	AAA 24h Ur-sRate
26909-2	AAA Amn-sCnc
56668-7	AAA/Creat 24h Ur-Rto
25847-5	AAA/Creat 24h Ur-sRto
28598-1	AAA/Creat Ur-Rto
26601-5	AAA/Creat Ur-sRto
26587-6	AAA CSF-sCnc
50083-5	AAA DBS-sCnc
50084-3	AAA Fld-sCnc
26600-7	AAA SerPl-sCnc
26725-2	AAA Ur-sCnc
817-7	A Ab SerPl Ql
62256-3	aacA Islt/Spm Ql
39578-0	A alternata Ab-mCnc
40996-1	A alternata IgE/IgE total %
6020-2	A alternata IgE Qn
15530-9	A alternata IgE RAST Ql
26404-4	A alternata IgG4 RAST Ql
51540-3	A alternata IgG Ql
7076-3	A alternata IgG Qn
21065-8	A alternata IgG RAST Ql
26951-4	A alternata IgG Ser-mCnc
26794-8	A-Aminobutyr 24h Ur Ql
25848-3	A-Aminobutyr 24h Ur-sCnc
25305-4	A-Aminobutyr 24h Ur-sRate
26819-3	A-Aminobutyr Amn-sCnc
44296-2	A-Aminobutyr/Creat 24h Ur
25849-1	A-Aminobutyr/Creat 24h Ur-sRto
28590-8	A-Aminobutyr/Creat Ur-Rto
26919-1	A-Aminobutyr/Creat Ur-sRto
26586-8	A-Aminobutyr CSF-sCnc
47559-0	A-Aminobutyr DBS-sCnc
32223-0	A-Aminobutyr Fld-sCnc
20634-2	A-Aminobutyr SerPl-sCnc
35168-4	AA SerPl-sCnc
30287-7	Abacavir Islt Genotyp
30273-7	Abacavir Islt Phenotyp
30303-2	Abacavir Susc Islt
19724-4	Abachi Wood Dust IgE Qn
25496-1	Abachi Wood Dust IgE RAST Ql
7060-7	Abalone IgE Qn
15518-4	Abalone IgE RAST Ql
85770-6	A baumannii DNA Bld Pos Ql NAA+non-probe
93406-7	A baumannii DNA Bld Pos Ql NAA+probe
94380-3	A baumannii DNA Lower resp Ql NAA+probe
61360-4	A baumannii DNA Spec Ql NAA+probe
99013-5	A baumannii DNA Ur Ql NAA+probe
26700-5	AB-Gp 24h Ur-sRate
26852-4	AB-Gp Amn-sCnc
28591-6	AB-Gp/Creat Ur-Rto
27337-5	AB-Gp CSF-sCnc
30060-8	AB-Gp SerPl-sCnc
30440-2	Abn Monocytes # Bld
30441-0	Abn Monocytes/leuk NFr Bld
29259-9	Abn Monocytes/leuk NFr Bld Manual
23381-7	Abn Prion Prot Brain Ql EM
37425-6	Abn Prion Prot Brain Ql IA
23379-1	Abn Prion Prot Brain Ql IB
23380-9	Abn Prion Prot Brain Ql ImStn
97503-7	Abn Prion Prot CSF Ql
74036-5	Abn Prion Prot Tiss IB
74035-7	Abn Prion Prot Tiss ImStn
39021-1	Abn Prion Prot Tiss Ql IA
39320-7	Abn Prion Prot Tiss Ql IB
39020-3	Abn Prion Prot Tiss Ql ImStn
883-9	ABO Group Bld
882-1	ABO + Rh Bld
881-3	ABO + Rh Bld BPU
54417-1	ABO + Rh Bld Fetus
43621-2	A bovis Ab Ser Ql
41660-2	ABT492 Islt Grad strip
41659-4	ABT492 Islt KB
41658-6	ABT492 Islt MIC
41726-1	ABT492 Susc Islt
41429-2	Acanthamoeba DNA Spec Ql NAA+probe
51639-3	Acanthocytes/1000 RBC NFr Bld Smear
7789-1	Acanthocytes Bld Ql Smear
92989-3	Acb cmplx DNA BAL NAA+non-prb-NCncRng
96317-3	ACB cmplx DNA L resp NAA+non-prb-NCncRng
92988-5	Acb cmplx DNA Spt NAA+non-prb-NCncRng
97050-9	ACB complex DNA Bld Pos Ql NAA+non-probe
1857-2	ACE Bld-cCnc
18188-3	Acebutolol Spec-mCnc
3294-6	Acebutolol Ur-mCnc
12480-0	ACE CSF-cCnc
51835-7	ACE Plr-cCnc
3296-1	Acepromazine SerPl-mCnc
2742-5	ACE SerPl-cCnc
51213-7	Acetamin Cry #/area UrnS HPF
43628-7	Acetamin Cry UrnS Ql Micro
13701-8	Acetoacet/Creat Ur
29524-6	Acetoacet/Creat Ur-sRto
1703-8	Acetoacet CSF-mCnc
1705-3	Acetoacet SerPl-mCnc
1704-6	Acetoacet SerPl Ql
35867-1	Acetoacet SerPl-sCnc
27132-0	Acetoacet Ur Ql
33918-4	Acetoacet Ur-sCnc
9425-0	Acetone Bld-mCnc
16311-3	Acetone Fld-mCnc
40598-5	Acetone Gast Ql
20469-3	Acetone SerPl Ql Scn
14582-1	Acetone SerPl-sCnc
32292-5	Acetone Spec-sCnc
5570-7	Acetone Ur-mCnc
5569-9	Acetone Ur Ql
32291-7	Acetone Ur-sCnc
30191-1	Acetylcarn SerPl-sCnc
7108-4	Acetylsalicylate IgE Qn
3306-8	Acetylsalicylate SerPl-mCnc
1708-7	AChE Amn-cCnc
30244-8	AChE Bld-cCnc
45295-3	AChE/Cholinesterase Amn-cRto
1710-3	AChE SerPl-cCnc
35701-2	AChE Spec-cCnc
8058-0	AChR Ab Ser-aCnc
20427-1	AChR Ab Ser-sCnc
1814-3	Acid A-Glucosidase Smn-cCnc
1815-0	Acid A-Glucosidase Tiss-cCnt
1816-8	Acid A-Glucosidase WBC-cCnc
32699-1	Acid fast Stn Bld
24002-8	Acid fast Stn Bronch
11476-9	Acid fast Stn Gast
89662-1	Acid fast Stn Lower resp
11545-1	Acid fast Stn Spec
72357-7	Acid fast Stn Spec Ql
11477-7	Acid fast Stn Spt
11478-5	Acid fast Stn Stl
89661-3	Acid fast Stn Upper resp
13533-5	Acid hemolysis Bld Ql
35702-0	Acid hemolysis NFr Bld
90003-5	Acinetobacter Spec Cult
88244-9	Acinetobacter sp rpsA Bld Pos Ql Probe
43622-0	Aconitate 24h Ur Ql
13702-6	Aconitate/Creat Ur
29525-3	Aconitate/Creat Ur-sRto
1711-1	ACP Bld-cCnc
16315-4	ACP Bld Tart Inhib-cCnc
12804-1	ACP Fld-cCnc
1715-2	ACP SerPl-cCnc
21391-8	ACP Stn Bone
6066-5	Acremonium IgE Qn
15619-0	Acremonium IgE RAST Ql
3184-9	ACT Bld
48091-3	ACTH 12 AM Plas-mCnc
48092-1	ACTH 12 PM Plas-mCnc
46401-6	ACTH 1.5h p 1 ug/kg CRH IV Plas-mCnc
16654-6	ACTH 1.5h p chal Plas RIA-mCnc
46400-8	ACTH 15M p 1 ug/kg CRH IV Plas-mCnc
56504-4	ACTH 15M p chal Plas-mCnc
16656-1	ACTH 15M p chal Plas RIA-mCnc
50428-2	ACTH 1h p 100 ug CRH IV Plas-mCnc
1359-9	ACTH 1h p 1 ug/kg CRH IV Plas-mCnc
16657-9	ACTH 1h p chal Plas RIA-mCnc
1360-7	ACTH 1h p Ins IV Plas-mCnc
50426-6	ACTH 20M p 100 ug CRH IV Plas-mCnc
16659-5	ACTH 2.5h p chal Plas RIA-mCnc
46402-4	ACTH 2h p 1 ug/kg CRH IV Plas-mCnc
1362-3	ACTH 30M p 1 ug/kg CRH IV Plas-mCnc
16662-9	ACTH 30M p chal Plas RIA-mCnc
1363-1	ACTH 30M p Ins IV Plas-mCnc
50439-9	ACTH 3 AM Plas-mCnc
50436-5	ACTH 3 PM Plas-mCnc
50427-4	ACTH 40M p 100 ug CRH IV Plas-mCnc
1364-9	ACTH 45M p 1 ug/kg CRH IV Plas-mCnc
50440-7	ACTH 6 AM Plas-mCnc
50437-3	ACTH 6 PM Plas-mCnc
48096-2	ACTH 8 AM Plas-mCnc
50435-7	ACTH 9 AM Plas-mCnc
50438-1	ACTH 9 PM Plas-mCnc
2140-2	ACTH Amn-mCnc
42598-3	ACTH BS Plas-mCnc
6016-0	ACTH IgE Qn
15520-0	ACTH IgE RAST Ql
56167-0	ACTH IgG4-mCnc
50414-2	ACTH p 1 mg Dex Plas-mCnc
50418-3	ACTH p 2 mg Dex Plas-mCnc
50420-9	ACTH p 500 ug Dex Plas-mCnc
19242-7	ACTH p chal Plas-mCnc
2141-0	ACTH Plas-mCnc
6879-1	ACTH Plas RIA-mCnc
14674-6	ACTH Plas-sCnc
50425-8	ACTH pre 100 ug CRH IV Plas-mCnc
50413-4	ACTH pre 1 mg Dex Plas-mCnc
1367-2	ACTH pre 1 ug/kg CRH IV Plas-mCnc
50417-5	ACTH pre 2 mg Dex Plas-mCnc
50419-1	ACTH pre 500 ug Dex Plas-mCnc
39564-0	ACTH sp1 p chal Plas-mCnc
50445-6	ACTH sp1 Plas-mCnc
12458-6	ACTH sp2 p chal Plas-mCnc
50446-4	ACTH sp2 Plas-mCnc
12459-4	ACTH sp3 p chal Plas-mCnc
50447-2	ACTH sp3 Plas-mCnc
12460-2	ACTH sp4 p chal Plas-mCnc
50448-0	ACTH sp4 Plas-mCnc
12461-0	ACTH sp5 p chal Plas-mCnc
50449-8	ACTH sp5 Plas-mCnc
12462-8	ACTH sp6 p chal Plas-mCnc
50450-6	ACTH sp6 Plas-mCnc
12463-6	ACTH sp7 p chal Plas-mCnc
50451-4	ACTH sp7 Plas-mCnc
12464-4	ACTH sp8 p chal Plas-mCnc
50452-2	ACTH sp8 Plas-mCnc
16666-0	ACTH sp9 p chal Plas-mCnc
53979-1	Actin Ab SerPl Ql IF
53980-9	Actin Ab Titr SerPl IF
34661-9	Actin IgG SerPl-aCnc
43619-6	Actinomyces Ab Ser Ql
5040-1	Actinomyces Ab Titr Ser IF
9816-0	Actinomyces Spec Cult
20631-8	Activ T Lymphs NFr Bld
20632-6	Activ T Lymphs NFr Spec
4107-9	Acyclovir Dose
35104-9	Acyclovir Peak SerPl-mCnc
9416-9	Acyclovir SerPl-mCnc
35103-1	Acyclovir Trough SerPl-mCnc
30193-7	Acylcarnitine/C0 SerPl-sRto
43576-8	Acylcarnitine/C0 Ur-Rto
34229-5	Acylcarnitine/Creat Ur-sRto
43717-8	Acylcarnitine DBS Ql
38474-3	Acylcarnitine DBS-sCnc
14282-8	Acylcarnitine SerPl-sCnc
90779-0	Adalimumab Ab Ser IA-aCnc
74117-3	Adalimumab SerPl-mCnc
55107-7	Addendum Doc
77599-9	Additional documentation
30288-5	Adefovir Islt Genotyp
30274-5	Adefovir Islt Phenotyp
30304-0	Adefovir Susc Islt
1722-8	Adenosine deaminase Bld-cCnc
35703-8	Adenosine deaminase CSF-cCnc
47548-3	Adenosine deaminase Fib-cCnt
9404-5	Adenosine deaminase Fld-cCnc
35704-6	Adenosine deaminase Plr-cCnc
47549-1	Adenosine deaminase RBC-cCnt
47826-3	Adenosine deaminase SerPl-cCnc
47550-9	Adenosine deaminase WBC Qn
9782-4	Adenovirus Spec Cult
24126-5	Adenovirus Typ Spec Nt
44051-1	Adenylate kinase RBC-cCnt
1731-9	Adenylate kinase Ser-cCnc
43609-7	Adipate 24h Ur Ql
29859-6	Adipate/Creat Ur-sRto
95420-6	Admitted to ICU for condition
8059-8	Adrenal Ab Ser-aCnc
57745-2	Adrenal Ab Ser Ql IF
5043-5	Adrenal Ab Titr Ser IF
6923-7	Adrenal cortex Ab Ser IF-aCnc
5044-3	Adrenal cortex Ab Ser RIA-aCnc
25499-5	Adrenal cortex Ab Titr Ser IF
61363-8	AdV 3+4+7+21 DNA Spec Ql NAA+probe
31709-9	AdV 40+41 Ag Stl Ql
6306-5	AdV 40+41 Ag Stl Ql IA
86330-8	AdV B(11) DNA Spec Ql NAA+probe
86331-6	AdV B(14) DNA Spec Ql NAA+probe
86329-0	AdV B(16) DNA Spec Ql NAA+probe
86328-2	AdV B(21) DNA Spec Ql NAA+probe
86334-0	AdV B(3) DNA Spec Ql NAA+probe
86332-4	AdV B(7) DNA Spec Ql NAA+probe
92828-3	AdV B+E DNA Spec Ql NAA+probe
73754-4	AdV C DNA Nph Ql NAA+probe
86333-2	AdV E(4) DNA Spec Ql NAA+probe
6177-0	Aedes mosquito IgE Qn
15856-8	Aedes mosquito IgE RAST Ql
21084-9	A flavus Ab CSF Ql ID
27377-1	A flavus Ab Fld Ql ID
31230-6	A flavus Ab Ser-aCnc
9490-4	A flavus Ab Ser Ql
23820-4	A flavus Ab Ser Ql ID
43090-0	A flavus Ab Titr Ser
19725-1	A flavus IgG Ser Ql
19171-8	AFP Amn-aCnc
1832-5	AFP Amn-mCnc
43798-8	AFP Amn Ql
15019-3	AFP Amn-sCnc
1833-3	AFP CSF-mCnc
44910-8	AFP Fld-aCnc
11207-8	AFP Fld-mCnc
49762-8	AFP Plr-mCnc
19173-4	AFP Plr-sCnc
19176-7	AFP SerPl-aCnc
83072-9	AFP SerPl IA-aCnc
83073-7	AFP SerPl IA-mCnc
1834-1	AFP SerPl-mCnc
19177-5	AFP SerPl-sCnc
17839-2	A-Fucosidase Bld-cCnc
21085-6	A fumigatus Ab CSF Ql ID
5050-0	A fumigatus Ab Ser-aCnc
23821-2	A fumigatus Ab Ser Ql ID
10645-0	A fumigatus Ag Tiss Ql IF
11030-4	A fumigatus+A niger IgE Qn
62478-3	A fumigatus DNA Spec Ql NAA+probe
38438-8	A fumigatus IgE/IgE total %
6025-1	A fumigatus IgE Qn
15549-9	A fumigatus IgE RAST Ql
26405-1	A fumigatus IgG4 Qn
26406-9	A fumigatus IgG4 RAST Ql
7103-5	A fumigatus IgG Qn
24162-0	A fumigatus IgG RAST Ql
19726-9	A fumigatus IgG Ser Ql
30986-4	A fumigatus (rAsp f) 1 IgE Qn
51568-4	A fumigatus (rAsp f) 1 IgE RAST Ql
30990-6	A fumigatus (rAsp f) 2 IgE Qn
51569-2	A fumigatus (rAsp f) 2 IgE RAST Ql
30991-4	A fumigatus (rAsp f) 3 IgE Qn
51570-0	A fumigatus (rAsp f) 3 IgE RAST Ql
30992-2	A fumigatus (rAsp f) 4 IgE Qn
51571-8	A fumigatus (rAsp f) 4 IgE RAST Ql
30993-0	A fumigatus (rAsp f) 6 IgE Qn
51572-6	A fumigatus (rAsp f) 6 IgE RAST Ql
30525-0	Age
21612-7	Age - Reported
29553-5	Age Time Patient Calc
33215-5	Agran Neuts Bld Ql Smear
33216-3	Agran Platelets Bld Ql Smear
33062-1	Ag Tested RBC
50761-6	A IgG Titr SerPl
50762-4	A IgM Titr SerPl
13678-8	A-Ketoglut/Creat Ur
29507-1	A-Ketoglut/Creat Ur-sRto
27271-6	A-Ketoglut Ur Ql
25453-2	A-Lactalb IgA Qn
25454-0	A-Lactalb IgA RAST Ql
7445-0	A-Lactalb IgE Qn
15529-1	A-Lactalb IgE RAST Ql
26425-9	A-Lactalb IgG4 Qn
26426-7	A-Lactalb IgG4 RAST Ql
51530-4	A-Lactalb IgG Ql
26795-5	Alanine 24h Ur Ql
25843-4	Alanine 24h Ur-sCnc
25301-3	Alanine 24h Ur-sRate
27013-2	Alanine Amn-sCnc
25844-2	Alanine/Creat 24h Ur-sRto
30068-1	Alanine/Creat Ur-Rto
22698-5	Alanine/Creat Ur-sRto
22657-1	Alanine CSF-sCnc
47551-7	Alanine DBS-sCnc
32222-2	Alanine Fld-sCnc
20636-7	Alanine SerPl-sCnc
22724-9	Alanine Spec-sCnc
27326-8	Alanine Ur-sCnc
1756-6	Alb CSF/SerPl
33203-1	AL beta42 CSF-mCnc
40051-5	Albumin 1.5h p chal SerPl-mCnc
13986-5	Albumin 24h MFr Ur Elph
51190-7	Albumin 24h Ur Elph-mCnc
21059-1	Albumin 24h Ur-mCnc
1755-8	Albumin 24h Ur-mRate
21058-3	Albumin 2h p PD SerPl-mCnc
40048-1	Albumin 30M p chal SerPl-mCnc
1745-9	Albumin Amn-mCnc
76631-1	Albumin Bld BCP-mCnc
1757-4	Albumin Cl 24h Ur+SerPl-vRate
13705-9	Albumin/Creat 24h Ur
9318-7	Albumin/Creat Ur
32294-1	Albumin/Creat Ur-Rto
14585-4	Albumin/Creat Ur-sRto
2861-3	Albumin CSF Elph-mCnc
1746-7	Albumin CSF-mCnc
76480-3	Albumin CSF-sCnc
40599-3	Albumin DiafP-mCnc
43212-0	Albumin Fld Elph-mCnc
1747-5	Albumin Fld-mCnc
43713-7	Albumin Fld Ql
14433-7	Albumin/Glob CSF
12174-9	Albumin/Glob Fld
1759-0	Albumin/Glob SerPl
44429-9	Albumin/Glob SerPl Elph
14436-0	Albumin/Glob Smn
44293-9	Albumin/Glob Ur Elph
48669-6	Albumin & Ig Quotient Ser+CSF-Imp
13974-1	Albumin MFr CSF Elph
17820-2	Albumin MFr Fld Elph
35706-1	Albumin MFr SerPl
13980-8	Albumin MFr SerPl Elph
15124-1	Albumin MFr Snv Elph
13992-3	Albumin MFr Ur Elph
1748-3	Albumin Plr-mCnc
1749-1	Albumin Prt-mCnc
